cam_sat,cam_tca,cam_dv_ms,num_degraded_crossings,num_unique_neighbors,worst_dist_km,worst_degradation_km,mean_degradation_km
210,2440690.86,0.1665,2,1,4.246909,1.211895,1.023265
213,1210394.62,0.0995,1,1,4.512471,0.946207,0.946207
215,2392660.05,0.2565,1,1,3.092849,2.365317,2.365317
216,1925494.96,0.0658,1,1,23.467335,0.084608,0.084608
217,1427685.25,0.0995,2,1,5.013455,0.445705,0.262614
219,400955.56,0.1814,2,2,4.841634,1.174971,0.895737
223,1518480.54,0.1999,2,2,18.083528,969.298645,484.983495
223,1830880.33,0.0580,2,1,5.270109,0.187937,0.144620
224,1421424.97,0.1540,1,1,18.268882,0.491208,0.491208
226,1651733.50,0.2144,1,1,4.205530,1.252711,1.252711
229,2079503.80,0.1169,1,1,22.767329,0.782739,0.782739
230,1656109.42,0.1226,1,1,17.886432,0.867390,0.867390
231,1223188.48,0.2872,3,2,23.035511,971.792553,324.113592
234,139075.84,0.0287,1,1,5.283429,0.176494,0.176494
235,1392240.56,0.2231,1,1,29.705392,969.294608,969.294608
235,1718005.60,0.1035,1,1,17.899115,0.853151,0.853151
242,1411784.47,0.1070,1,1,23.169997,0.378757,0.378757
242,1515849.53,0.1655,2,1,4.749792,0.708469,0.357334
245,834495.16,0.0656,1,1,5.239382,0.218982,0.218982
245,1235440.08,0.2240,1,1,29.383364,969.616636,969.616636
251,1083900.10,0.1425,2,2,22.834254,969.374884,485.048550
251,2297339.53,0.0987,1,1,22.938227,0.618242,0.618242
258,882491.37,0.2245,2,1,4.181488,1.277436,1.091778
259,947376.05,0.2438,1,1,2.641256,2.818273,2.818273
259,1669609.54,0.0531,1,1,4.998643,0.460886,0.460886
262,1871080.29,0.0577,1,1,5.098473,0.359857,0.359857
266,773995.16,0.0756,1,1,23.281934,0.268113,0.268113
268,1282830.11,0.0339,1,1,5.224824,0.233409,0.233409
270,92985.78,0.0540,1,1,23.252004,0.298286,0.298286
272,1555044.37,0.0540,1,1,5.054578,0.403582,0.403582
274,294750.50,0.1437,1,1,3.585643,1.875279,1.875279
276,2317164.85,0.0155,1,1,5.280961,0.177079,0.177079
277,1630455.11,0.0534,1,1,23.281575,0.271194,0.271194
278,1302649.16,0.1253,1,1,22.113187,1.449615,1.449615
284,2408615.48,0.2408,1,1,3.637120,1.822658,1.822658
285,1063535.43,0.0692,1,1,23.302450,0.244337,0.244337
288,1529370.10,0.0538,1,1,4.995800,0.463780,0.463780
289,1113669.77,0.1053,1,1,23.473146,0.073052,0.073052
289,1990774.72,0.1731,1,1,21.676481,1.869717,1.869717
290,680795.84,0.2088,2,2,17.458840,969.198320,485.250316
290,1826062.23,0.1171,1,1,5.107774,0.351352,0.351352
290,2321714.79,0.0712,1,1,4.480932,0.978194,0.978194
298,1348485.04,0.3333,1,1,5.030716,0.427937,0.427937
299,1167839.36,0.1163,2,1,4.741266,0.721057,0.522313
300,172054.54,0.0611,1,1,5.075217,0.383227,0.383227
300,1968719.18,0.0886,1,1,18.343627,0.414937,0.414937
301,1911280.87,0.0858,1,1,4.732500,0.725547,0.725547
302,590725.70,0.0215,1,1,5.216869,0.242054,0.242054
303,2549265.24,0.0519,1,1,23.426309,0.127954,0.127954
307,45604.88,0.1039,1,1,4.909722,0.548422,0.548422
308,2176998.64,0.0608,1,1,23.350267,0.204580,0.204580
309,956190.28,0.2676,1,1,1.931201,3.529259,3.529259
312,1400249.50,0.0020,2,2,0.990871,0.025692,0.019084
