time_s,cam_sat,cam_tca,neighbor_sat,perturbed_dist_km,baseline_dist_km,degradation_km
1953390,427,1955345.56,1251,9.681805,10.351288,0.669483
1771920,380,1772159.47,75,9.721122,11.525653,1.804531
2470710,1519,2474680.12,760,9.722061,10.359054,0.636993
1639440,273,1639829.79,1551,9.737356,11.522305,1.784949
881700,82,886180.01,1360,9.759016,11.551534,1.792518
469800,586,470630.17,281,9.761272,11.526123,1.764851
628770,1313,636154.36,532,9.764556,10.351553,0.586997
1966980,89,1969239.57,913,9.775440,10.360230,0.584790
2568300,1456,2574354.79,1151,9.780392,11.526028,1.745636
2457360,167,2464689.96,1445,9.787743,11.527784,1.740041
1583040,1541,1585280.20,782,9.797585,10.350888,0.553303
153720,942,155614.79,637,9.805766,11.527017,1.721251
242040,709,244225.36,1533,9.814900,10.365100,0.550200
1485390,157,1487804.46,981,9.819337,10.380171,0.560834
2445930,251,2450894.53,1075,9.838296,10.401211,0.562915
1188120,111,1194901.39,935,9.848212,10.354007,0.505795
1832970,1373,1839860.39,614,9.857480,10.350558,0.493078
1118580,334,1119124.49,1158,9.861562,10.364823,0.503261
1762680,1185,1765629.42,858,9.864121,11.533921,1.669800
972540,367,977700.23,1169,9.874748,10.370288,0.495540
648330,1084,650619.62,325,9.875009,10.354840,0.479831
1334790,783,1337114.73,478,9.892825,11.524867,1.632042
1393830,1084,1394219.43,779,9.915878,11.532218,1.616340
454350,1129,457330.63,824,9.917713,11.525003,1.607290
2165850,1506,2168600.48,1201,9.928925,11.527266,1.598341
2340390,704,2346560.18,399,9.929817,11.525075,1.595258
228690,940,237603.87,635,9.932280,11.529298,1.597018
228690,940,231449.39,635,9.932280,11.529298,1.597018
1429170,131,1438410.10,933,9.934631,10.353197,0.418566
1291920,526,1295510.24,1328,9.963921,10.360341,0.396420
1291920,526,1300804.36,1328,9.963921,10.360341,0.396420
1798710,757,1801374.69,1581,9.980533,10.354912,0.374379
344190,1420,348086.20,1115,9.988172,11.526052,1.537880
2507790,827,2511439.50,46,10.028384,10.363793,0.335409
516900,907,526818.96,148,10.044567,10.353979,0.309412
505920,1191,513429.55,432,10.045255,10.364808,0.319553
1269150,1273,1270064.09,492,10.046444,10.358899,0.312455
2580180,443,2580425.19,138,10.052797,11.520625,1.467828
2383290,1023,2383623.39,718,10.057508,11.520752,1.463244
1042650,1201,1049154.74,896,10.057525,11.531321,1.473796
2366850,1262,2369325.71,957,10.064411,11.521102,1.456691
1988550,314,1990119.05,1138,10.095906,10.370180,0.274274
2435610,1042,2436768.07,737,10.105941,11.525200,1.419259
2490570,1069,2497855.99,288,10.122831,10.356872,0.234041
701850,153,711610.53,955,10.134333,10.359110,0.224777
595980,1025,601284.08,720,10.146023,11.521534,1.375511
