sat_i,sat_j,min_dist_km
505,2554,0.908323
417,2466,0.908483
1378,2328,0.908500
329,2378,0.908545
1467,2417,0.908799
379,1329,0.908849
467,1417,0.908861
1290,2240,0.908971
1604,2594,0.909089
643,2692,0.909103
506,2555,0.909177
556,1506,0.909264
781,1731,0.909267
241,2290,0.909393
555,1505,0.909437
603,1593,0.909478
1869,2819,0.909542
290,1240,0.909590
418,2467,0.909673
1555,2505,0.909834
908,2957,0.909895
604,1594,0.909918
1613,2563,0.910030
525,1515,0.910069
652,2701,0.910154
202,1192,0.910225
427,2476,0.910231
1006,1996,0.910296
632,2641,0.910340
1379,2329,0.910363
790,1740,0.910482
1388,2338,0.910483
1202,2192,0.910501
1593,2543,0.910538
730,1680,0.910585
1533,2483,0.910596
45,2094,0.910715
445,1435,0.910722
300,1250,0.910792
1248,2238,0.910796
287,2336,0.910958
1692,2642,0.910960
963,1953,0.910989
718,1668,0.911028
1878,2828,0.911059
505,1455,0.911115
162,2211,0.911130
183,1133,0.911130
2,2051,0.911133
1183,2133,0.911211
572,2621,0.911223
222,2271,0.911233
95,1045,0.911251
295,2344,0.911258
1603,2593,0.911264
320,1310,0.911315
1818,2768,0.911340
2006,2996,0.911356
594,2603,0.911382
291,1241,0.911382
971,1921,0.911450
1408,2398,0.911461
1123,2113,0.911470
1264,2214,0.911480
588,2637,0.911481
347,2396,0.911517
1271,2221,0.911519
958,1908,0.911535
433,1383,0.911569
160,1150,0.911610
10,2059,0.911645
469,1419,0.911674
447,2496,0.911676
1691,2641,0.911774
75,1025,0.911792
820,2869,0.911799
1766,2756,0.911805
841,2890,0.911823
580,2629,0.911827
192,2201,0.911852
310,2359,0.911865
917,2926,0.911933
212,1162,0.911948
585,1535,0.911968
686,1676,0.911993
367,2416,0.912008
624,2673,0.912019
1007,1997,0.912074
1986,2936,0.912077
1328,2318,0.912084
865,2914,0.912095
1802,2792,0.912102
408,1398,0.912154
1906,2856,0.912157
1781,2731,0.912160
425,1375,0.912196
435,2444,0.912221
154,1104,0.912245
731,2780,0.912247
898,1848,0.912309
23,973,0.912328
1673,2623,0.912349
46,2095,0.912353
1496,2446,0.912375
104,2153,0.912393
760,2809,0.912477
535,2584,0.912521
1167,2157,0.912549
1721,2711,0.912571
561,1551,0.912579
673,1623,0.912586
693,1643,0.912637
140,1090,0.912640
857,2906,0.912676
710,1660,0.912690
1773,2723,0.912733
629,1579,0.912741
1585,2535,0.912761
1256,2206,0.912763
193,2202,0.912785
303,2352,0.912827
712,2721,0.912836
176,1126,0.912842
1308,2258,0.912899
1801,2791,0.912903
1745,2695,0.912946
1235,2185,0.913094
1139,2089,0.913121
1897,2847,0.913136
1557,2507,0.913138
1015,1965,0.913154
1925,2915,0.913159
595,2604,0.913249
51,1001,0.913254
62,2111,0.913301
873,2882,0.913340
1549,2499,0.913352
330,2379,0.913381
692,1642,0.913425
1443,2433,0.913440
810,1760,0.913447
331,2380,0.913477
1993,2943,0.913485
398,2407,0.913512
114,2123,0.913525
1511,2461,0.913541
302,2351,0.913554
519,1469,0.913585
961,1951,0.913593
869,1819,0.913722
477,2486,0.913760
1481,2471,0.913830
642,2691,0.913865
463,2512,0.913870
1029,1979,0.913923
426,2475,0.913967
1263,2213,0.913991
474,1424,0.914011
1976,2926,0.914017
1556,2506,0.914021
1415,2365,0.914032
984,1934,0.914048
148,1098,0.914068
1541,2491,0.914075
959,2968,0.914112
37,987,0.914112
1717,2667,0.914147
1898,2848,0.914203
274,2283,0.914245
657,1607,0.914251
805,2854,0.914280
914,2923,0.914291
1826,2776,0.914337
801,2850,0.914347
291,2340,0.914378
361,1351,0.914390
945,2994,0.914405
1934,2884,0.914418
1494,2444,0.914455
1830,2780,0.914461
240,1230,0.914513
1300,2250,0.914519
911,1861,0.914533
1280,2270,0.914576
979,1929,0.914606
1513,2463,0.914609
1154,2104,0.914625
995,1945,0.914664
1387,2337,0.914674
2021,2971,0.914677
16,2065,0.914697
770,1720,0.914706
1291,2241,0.914710
451,1401,0.914737
933,1883,0.914759
54,2103,0.914776
1396,2346,0.914776
220,1170,0.914788
1421,2371,0.914804
1466,2416,0.914816
260,1210,0.914837
364,2413,0.914838
818,1768,0.914869
528,1518,0.914904
18,968,0.914904
533,1483,0.914922
1078,2028,0.914943
700,2749,0.914956
1359,2309,0.914958
458,2507,0.914964
468,1418,0.914979
454,2503,0.914999
1588,2538,0.915003
1774,2724,0.915039
190,2239,0.915056
49,2098,0.915068
1798,2748,0.915082
730,2779,0.915097
1997,2947,0.915107
599,2608,0.915127
1689,2679,0.915129
937,2986,0.915130
547,1497,0.915146
159,1109,0.915168
1179,2129,0.915172
722,1712,0.915177
669,1619,0.915184
1539,2489,0.915210
1931,2881,0.915233
1687,2677,0.915261
754,1704,0.915268
909,2958,0.915272
2004,2994,0.915285
1957,2907,0.915335
1447,2437,0.915360
1153,2103,0.915383
188,2237,0.915395
409,2458,0.915419
1177,2127,0.915458
428,2477,0.915510
1065,2015,0.915562
938,2987,0.915602
1903,2853,0.915603
1228,2178,0.915619
937,1887,0.915751
1023,1973,0.915771
1111,2061,0.915802
698,2747,0.915808
432,2441,0.915854
119,1069,0.915864
1780,2730,0.915887
206,2255,0.915899
59,1009,0.915920
569,1559,0.915934
168,1158,0.915942
840,2889,0.915985
142,2191,0.916016
667,1617,0.916038
1927,2917,0.916038
161,2210,0.916060
956,1906,0.916087
738,1688,0.916113
685,1675,0.916185
498,1448,0.916246
1075,2025,0.916255
1531,2481,0.916289
1362,2352,0.916291
184,1134,0.916294
427,1377,0.916311
1233,2183,0.916405
258,1208,0.916452
32,2041,0.916465
905,1855,0.916466
1393,2343,0.916544
1700,2650,0.916554
1405,2395,0.916560
936,2985,0.916568
1276,2226,0.916616
1064,2014,0.916682
942,2991,0.916701
78,2087,0.916740
1617,2567,0.916762
1829,2779,0.916767
812,2861,0.916801
1574,2524,0.916804
1912,2862,0.916839
192,1142,0.916854
891,2940,0.916874
121,2170,0.916902
1448,2438,0.916922
1057,2007,0.916932
1743,2693,0.916959
66,1016,0.916960
1119,2069,0.917034
401,1391,0.917037
6,996,0.917038
157,1107,0.917056
867,2916,0.917076
499,2548,0.917089
482,2531,0.917095
82,2131,0.917107
780,1730,0.917143
1834,2784,0.917159
502,2551,0.917165
1649,2639,0.917170
497,1447,0.917201
711,2720,0.917215
259,2308,0.917228
1417,2367,0.917259
768,1758,0.917283
423,1373,0.917332
1718,2668,0.917343
1008,1998,0.917373
895,1845,0.917375
34,2043,0.917377
1948,2898,0.917424
843,2892,0.917434
461,1411,0.917439
391,2400,0.917463
1014,1964,0.917476
1337,2287,0.917503
1998,2948,0.917514
400,1390,0.917525
0,2049,0.917529
228,1178,0.917534
1107,2057,0.917568
1786,2736,0.917607
843,1833,0.917616
1103,2053,0.917622
274,1224,0.917627
453,1403,0.917642
491,2540,0.917642
996,1946,0.917646
714,2723,0.917685
578,2627,0.917686
860,1810,0.917689
615,1565,0.917699
333,2382,0.917709
406,1396,0.917766
43,2092,0.917783
105,1055,0.917795
502,1452,0.917814
237,2246,0.917821
325,1315,0.917851
753,1703,0.917858
2001,2991,0.917892
977,1927,0.917931
1597,2547,0.917967
852,1802,0.917987
877,1827,0.917994
596,2605,0.918033
446,1436,0.918054
357,2366,0.918081
1395,2345,0.918083
14,964,0.918087
732,2781,0.918087
1021,1971,0.918106
681,1671,0.918113
520,2569,0.918165
1953,2903,0.918254
1318,2268,0.918257
552,2561,0.918293
1660,2610,0.918296
1928,2918,0.918332
795,2804,0.918341
1292,2242,0.918351
1052,2002,0.918361
683,1673,0.918370
780,2829,0.918399
1077,2027,0.918412
292,1242,0.918443
65,1015,0.918446
837,2846,0.918486
542,2591,0.918508
827,1777,0.918518
1958,2908,0.918534
439,2448,0.918547
943,1893,0.918568
597,2606,0.918568
1067,2017,0.918583
290,2339,0.918611
1943,2893,0.918620
775,2824,0.918649
784,2833,0.918662
819,2868,0.918695
1201,2191,0.918719
1955,2905,0.918725
716,1666,0.918752
333,1283,0.918782
1094,2044,0.918788
1190,2140,0.918813
424,2473,0.918821
1236,2186,0.918849
809,1799,0.918861
1216,2166,0.918873
1558,2508,0.918919
885,2934,0.918923
1933,2883,0.918931
58,2107,0.918936
726,1716,0.918942
161,1151,0.919002
1905,2855,0.919018
1319,2269,0.919022
1751,2701,0.919048
147,1097,0.919072
949,2998,0.919091
769,2818,0.919115
1629,2579,0.919124
1567,2557,0.919190
178,2227,0.919192
1012,1962,0.919231
907,1857,0.919242
934,2983,0.919248
1168,2158,0.919280
203,1193,0.919282
15,965,0.919284
850,1800,0.919314
706,1656,0.919314
868,1818,0.919333
1828,2778,0.919334
1962,2952,0.919345
770,2819,0.919354
1856,2806,0.919364
554,1504,0.919374
123,1113,0.919380
169,2218,0.919438
1572,2522,0.919443
1240,2230,0.919446
118,2127,0.919462
901,2950,0.919477
1327,2317,0.919489
373,2422,0.919496
110,1060,0.919497
1582,2532,0.919522
2038,2988,0.919534
1741,2691,0.919582
75,2084,0.919591
1062,2012,0.919602
476,1426,0.919623
1042,2032,0.919649
413,1363,0.919652
186,1136,0.919680
785,2834,0.919701
696,1646,0.919769
1043,2033,0.919782
846,2895,0.919791
1973,2923,0.919794
1304,2254,0.919806
927,2976,0.919817
671,2680,0.919831
1736,2686,0.919838
1977,2927,0.919850
512,2521,0.919861
583,2632,0.919876
204,2253,0.919886
271,1221,0.919900
381,2430,0.919909
1791,2741,0.919965
668,2717,0.919992
1569,2559,0.920003
773,2822,0.920005
1082,2072,0.920028
1438,2388,0.920046
1693,2643,0.920052
1852,2802,0.920063
633,2642,0.920069
691,1641,0.920121
950,1900,0.920169
496,1446,0.920172
267,2316,0.920175
701,1651,0.920176
484,1474,0.920177
815,2864,0.920190
938,1888,0.920211
1349,2299,0.920243
802,1792,0.920305
335,2384,0.920315
395,1345,0.920335
146,2195,0.920374
1670,2620,0.920385
1938,2888,0.920403
411,2460,0.920429
1375,2325,0.920469
289,2338,0.920478
420,1370,0.920482
526,1516,0.920491
441,2490,0.920509
133,2182,0.920542
1455,2405,0.920554
288,1278,0.920575
728,2777,0.920580
18,2067,0.920597
260,2309,0.920619
314,1264,0.920623
694,2743,0.920633
47,2096,0.920635
70,2119,0.920651
915,2924,0.920659
838,1788,0.920674
138,1088,0.920678
218,2267,0.920689
900,1850,0.920710
217,2266,0.920738
275,2284,0.920746
813,2862,0.920750
1424,2374,0.920780
1561,2551,0.920810
19,2068,0.920821
231,1181,0.920830
1616,2566,0.920842
1472,2422,0.920848
1311,2261,0.920851
191,1141,0.920855
458,1408,0.920861
1760,2750,0.920868
1348,2298,0.920880
42,1032,0.920886
350,1300,0.920888
132,1082,0.920889
109,1059,0.920891
575,1525,0.920894
1944,2894,0.920899
1757,2707,0.920903
1524,2514,0.920927
340,1290,0.920939
79,2088,0.920941
1288,2278,0.920946
297,2346,0.920954
1926,2916,0.920962
550,2599,0.920963
1346,2296,0.920968
790,2839,0.920968
158,1108,0.920975
62,1012,0.920994
1522,2512,0.920997
276,1226,0.921003
1868,2818,0.921005
223,2272,0.921028
863,2912,0.921046
534,1484,0.921099
132,2181,0.921117
616,2665,0.921126
1762,2752,0.921164
1009,1999,0.921168
2037,2987,0.921171
779,1729,0.921177
317,1267,0.921193
1858,2808,0.921200
1144,2094,0.921225
1207,2197,0.921227
263,2312,0.921251
820,1770,0.921279
756,1706,0.921281
1383,2333,0.921286
105,2154,0.921311
1900,2850,0.921311
385,1335,0.921319
1889,2879,0.921326
376,2425,0.921326
382,1332,0.921345
257,1207,0.921366
711,1661,0.921390
81,2130,0.921392
742,2791,0.921400
644,2693,0.921401
339,2388,0.921405
47,1037,0.921406
1534,2484,0.921407
253,1203,0.921424
643,1633,0.921432
635,1585,0.921438
297,1247,0.921508
191,2200,0.921542
1853,2803,0.921579
1239,2189,0.921581
179,2228,0.921594
504,1454,0.921606
1618,2568,0.921619
329,1319,0.921623
316,2325,0.921627
436,2445,0.921637
359,2368,0.921642
551,2560,0.921648
2026,2976,0.921648
839,2848,0.921654
697,1647,0.921667
1946,2896,0.921689
1870,2820,0.921729
743,1693,0.921740
247,2296,0.921742
1592,2542,0.921743
1493,2443,0.921757
600,2649,0.921772
957,1907,0.921778
684,2733,0.921789
459,2508,0.921803
846,1836,0.921804
960,1950,0.921809
311,1261,0.921847
554,2563,0.921849
1463,2413,0.921879
213,2262,0.921916
920,2969,0.921925
625,2674,0.921932
36,986,0.921936
587,2636,0.921945
1738,2688,0.921954
403,1393,0.921958
229,2278,0.921977
879,2888,0.922022
511,1461,0.922032
175,1125,0.922037
597,1547,0.922040
717,1667,0.922042
342,1292,0.922051
1004,1994,0.922057
397,1347,0.922060
352,1302,0.922063
756,2765,0.922082
437,1387,0.922089
336,2385,0.922101
90,2139,0.922107
1370,2320,0.922107
212,2261,0.922110
1450,2400,0.922130
808,1798,0.922135
1709,2659,0.922161
1723,2713,0.922175
964,1954,0.922193
878,2887,0.922193
1018,1968,0.922201
1554,2504,0.922207
869,2918,0.922217
245,2294,0.922220
9,999,0.922228
187,1137,0.922235
1890,2840,0.922262
414,2463,0.922278
680,2729,0.922282
102,1052,0.922284
559,2568,0.922288
1172,2122,0.922294
421,2470,0.922296
733,2782,0.922300
676,1626,0.922315
308,1258,0.922321
101,1051,0.922322
1423,2373,0.922340
387,1337,0.922340
1340,2290,0.922341
1175,2125,0.922341
798,2807,0.922371
1847,2837,0.922375
2018,2968,0.922383
1205,2195,0.922385
1250,2200,0.922387
1810,2760,0.922389
1016,1966,0.922392
193,1143,0.922394
355,2364,0.922398
1315,2265,0.922399
695,2744,0.922412
828,2877,0.922416
465,1415,0.922418
807,1797,0.922429
777,2826,0.922431
450,2499,0.922432
1587,2537,0.922437
432,1382,0.922452
580,1530,0.922456
1390,2340,0.922465
519,2528,0.922474
171,1121,0.922477
232,2241,0.922480
1352,2302,0.922490
729,2778,0.922507
1486,2476,0.922516
499,1449,0.922521
