sat_i,sat_j,min_dist_km
592,1542,0.922533
344,2393,0.922538
503,2552,0.922543
1639,2589,0.922558
133,1083,0.922564
63,2112,0.922569
1527,2517,0.922581
250,2299,0.922603
319,2328,0.922611
878,1828,0.922618
784,1734,0.922622
568,1558,0.922629
598,2607,0.922649
24,2073,0.922658
279,2288,0.922661
1846,2836,0.922665
765,2814,0.922693
178,1128,0.922715
1024,1974,0.922720
540,2589,0.922723
782,2831,0.922738
581,1531,0.922746
746,1696,0.922747
1149,2099,0.922755
372,1322,0.922762
1474,2424,0.922762
1646,2636,0.922767
564,1554,0.922767
1165,2155,0.922768
1525,2515,0.922770
26,2075,0.922771
100,1050,0.922801
556,2565,0.922804
539,1489,0.922805
326,1316,0.922808
51,2100,0.922828
399,1349,0.922831
1258,2208,0.922832
1506,2456,0.922835
524,1514,0.922843
816,1766,0.922850
1756,2706,0.922854
2013,2963,0.922855
1192,2142,0.922859
823,2872,0.922863
1965,2955,0.922919
1125,2115,0.922923
593,2602,0.922934
836,1786,0.922934
429,1379,0.922939
854,1804,0.922942
640,1630,0.922942
627,2676,0.922942
460,2509,0.922944
1915,2865,0.922952
327,1317,0.922955
1725,2715,0.922956
113,1063,0.922960
1919,2869,0.922963
1872,2822,0.922977
875,1825,0.922978
173,1123,0.922981
1039,1989,0.922986
935,1885,0.922987
1433,2383,0.922990
309,1259,0.922990
939,1889,0.922995
164,2213,0.922998
1299,2249,0.923012
529,2578,0.923017
630,2679,0.923045
68,2117,0.923051
1621,2571,0.923060
1055,2005,0.923096
265,2314,0.923098
490,1440,0.923116
38,2047,0.923117
1425,2375,0.923129
1607,2597,0.923133
865,1815,0.923144
23,2072,0.923155
148,2197,0.923160
888,1878,0.923205
232,1182,0.923211
500,2549,0.923264
757,2766,0.923267
1031,1981,0.923269
557,2566,0.923281
22,2071,0.923283
1418,2368,0.923286
725,1715,0.923288
1381,2331,0.923290
829,2878,0.923295
569,2618,0.923314
1586,2536,0.923314
650,1600,0.923344
1488,2478,0.923346
2039,2989,0.923348
343,2392,0.923351
889,1879,0.923354
1491,2441,0.923358
313,1263,0.923388
885,1875,0.923390
2036,2986,0.923391
708,2757,0.923402
475,2484,0.923404
545,2594,0.923415
543,1493,0.923455
655,2704,0.923456
41,2090,0.923512
697,2746,0.923517
441,1431,0.923524
924,2973,0.923526
1777,2727,0.923566
323,2372,0.923566
158,2167,0.923568
402,1392,0.923578
633,1583,0.923599
1237,2187,0.923637
909,1859,0.923641
454,1404,0.923653
658,1608,0.923671
2022,2972,0.923676
1070,2020,0.923691
1252,2202,0.923694
416,2465,0.923696
1066,2016,0.923704
153,2162,0.923706
434,2443,0.923725
1880,2870,0.923745
1161,2151,0.923750
1053,2003,0.923761
1753,2703,0.923773
323,1313,0.923774
117,2126,0.923803
1908,2858,0.923804
602,2651,0.923808
566,2615,0.923812
747,2796,0.923838
1581,2531,0.923862
1882,2872,0.923884
328,2377,0.923905
1127,2117,0.923936
1460,2410,0.923939
403,2452,0.923958
1085,2075,0.924002
786,2835,0.924006
716,2725,0.924007
73,2082,0.924012
1577,2527,0.924028
1272,2222,0.924038
238,1188,0.924097
586,1536,0.924105
1645,2635,0.924108
883,2932,0.924112
423,2472,0.924155
314,2323,0.924178
1150,2100,0.924181
622,2671,0.924198
740,2789,0.924217
1047,2037,0.924221
1489,2479,0.924235
886,2935,0.924265
1287,2277,0.924277
1632,2582,0.924283
800,2849,0.924348
1562,2552,0.924350
577,2626,0.924359
168,2217,0.924361
153,1103,0.924369
1956,2906,0.924370
1932,2882,0.924417
108,2157,0.924444
811,2860,0.924458
930,2979,0.924475
1306,2256,0.924520
672,1622,0.924533
1952,2902,0.924571
645,2694,0.924597
1231,2181,0.924616
299,1249,0.924640
1875,2825,0.924640
207,1197,0.924661
879,1829,0.924675
216,1166,0.924724
1145,2095,0.924732
605,1595,0.924765
2031,2981,0.924774
130,2179,0.924797
742,1692,0.924837
92,1042,0.924864
252,2301,0.924868
585,2634,0.924873
492,1442,0.924879
855,2904,0.924888
1449,2439,0.924895
1365,2355,0.924924
1203,2193,0.924988
4,994,0.925006
150,2199,0.925011
754,2763,0.925027
845,1835,0.925067
2005,2995,0.925071
1419,2369,0.925075
835,2844,0.925081
256,1206,0.925086
399,2408,0.925097
1935,2885,0.925108
130,1080,0.925142
194,1144,0.925155
486,1476,0.925160
1293,2243,0.925162
1273,2223,0.925198
602,1592,0.925203
1888,2878,0.925242
124,1114,0.925268
1220,2170,0.925273
286,1276,0.925309
2010,2960,0.925310
604,2653,0.925337
907,2956,0.925361
166,1156,0.925380
527,1517,0.925398
412,1362,0.925441
89,1079,0.925452
628,2677,0.925471
874,1824,0.925486
1148,2098,0.925496
284,1274,0.925506
1854,2804,0.925511
2030,2980,0.925520
769,1759,0.925528
1038,1988,0.925547
1086,2076,0.925575
1842,2832,0.925600
675,2684,0.925604
116,2125,0.925605
269,1219,0.925645
73,1023,0.925658
1701,2651,0.925728
533,2582,0.925751
1987,2937,0.925778
572,1522,0.925785
353,2362,0.925790
2035,2985,0.925794
449,2498,0.925811
745,2794,0.925818
180,1130,0.925845
1711,2661,0.925858
1246,2236,0.926027
477,1427,0.926039
1106,2056,0.926062
335,1285,0.926066
204,1194,0.926074
1929,2919,0.926094
542,1492,0.926096
344,1294,0.926096
1792,2742,0.926099
1146,2096,0.926105
1403,2393,0.926112
1999,2949,0.926168
254,1204,0.926178
352,2361,0.926213
429,2478,0.926243
1783,2733,0.926392
365,1355,0.926405
417,1367,0.926411
334,1284,0.926415
919,2928,0.926458
694,1644,0.926485
2000,2990,0.926498
928,2977,0.926503
355,1305,0.926506
1225,2175,0.926513
868,2917,0.926529
1262,2212,0.926625
1214,2164,0.926645
1076,2026,0.926668
1921,2911,0.926681
507,1457,0.926682
1677,2627,0.926691
1805,2795,0.926715
7,2056,0.926727
551,1501,0.926759
619,2668,0.926793
750,2799,0.926794
599,1549,0.926823
378,1328,0.926826
22,972,0.926839
672,2681,0.926859
663,2712,0.926874
798,1748,0.926906
1188,2138,0.926938
270,2319,0.926965
225,2274,0.926978
376,1326,0.926983
3,2052,0.926984
876,2885,0.926988
430,2479,0.927016
1800,2790,0.927043
1899,2849,0.927043
488,1478,0.927071
419,2468,0.927125
613,1563,0.927125
1279,2229,0.927224
1345,2295,0.927254
1083,2073,0.927255
1851,2801,0.927273
1266,2216,0.927282
978,1928,0.927305
748,1698,0.927337
862,1812,0.927354
1325,2315,0.927354
612,1562,0.927370
1715,2665,0.927380
1073,2023,0.927384
127,1117,0.927481
356,2365,0.927481
25,2074,0.927501
596,1546,0.927503
428,1378,0.927515
1147,2097,0.927525
791,2800,0.927535
366,2415,0.927598
638,1588,0.927613
1324,2314,0.927616
122,2171,0.927700
688,2737,0.927705
1120,2110,0.927777
940,2989,0.927825
1635,2585,0.927829
962,1952,0.927883
621,1571,0.927898
794,1744,0.927913
474,2483,0.927927
557,1507,0.927944
1726,2716,0.927960
496,2545,0.928029
639,1589,0.928071
887,1877,0.928072
488,2537,0.928075
870,1820,0.928084
726,2775,0.928139
404,2453,0.928146
951,2960,0.928169
1594,2544,0.928183
452,1402,0.928191
739,2788,0.928191
1389,2339,0.928192
1923,2913,0.928196
2034,2984,0.928204
1303,2253,0.928206
1316,2266,0.928213
1584,2534,0.928223
1159,2109,0.928290
1657,2607,0.928340
515,2524,0.928382
1661,2611,0.928409
727,1717,0.928450
656,2705,0.928480
563,2612,0.928500
500,1450,0.928505
1452,2402,0.928507
825,2874,0.928510
94,1044,0.928512
217,1167,0.928554
348,1298,0.928577
527,2576,0.928587
396,2405,0.928605
134,2183,0.928624
245,1235,0.928639
1044,2034,0.928644
1182,2132,0.928657
7,997,0.928666
2023,2973,0.928667
1226,2176,0.928709
1970,2920,0.928724
953,2962,0.928744
916,2925,0.928747
797,2806,0.928823
93,1043,0.928834
1151,2101,0.928975
1010,1960,0.929044
1710,2660,0.929045
1911,2861,0.929058
1041,2031,0.929068
788,2837,0.929102
54,1004,0.929152
46,1036,0.929183
494,1444,0.929186
473,1423,0.929190
951,1901,0.929236
1020,1970,0.929248
1095,2045,0.929265
1476,2426,0.929298
992,1942,0.929322
1501,2451,0.929330
507,2556,0.929335
623,2672,0.929355
1074,2024,0.929355
1707,2657,0.929367
390,1340,0.929379
646,1636,0.929384
601,1591,0.929388
518,1468,0.929389
767,2816,0.929417
20,970,0.929426
1520,2510,0.929433
568,2617,0.929566
19,969,0.929568
91,1041,0.929642
640,2689,0.929655
21,2070,0.929664
802,2851,0.929697
531,2580,0.929735
370,2419,0.929797
1776,2726,0.929827
156,1106,0.929907
848,2897,0.929924
337,1287,0.929928
196,1146,0.929938
608,2657,0.929939
776,2825,0.929954
1135,2085,0.930029
1089,2079,0.930089
80,1070,0.930093
729,1719,0.930101
5,995,0.930101
1005,1995,0.930126
601,2650,0.930128
1699,2649,0.930137
455,1405,0.930142
1468,2418,0.930178
815,1765,0.930192
817,1767,0.930202
983,1933,0.930300
721,1711,0.930305
1274,2224,0.930331
613,2662,0.930342
2011,2961,0.930345
388,1338,0.930400
615,2664,0.930449
701,2750,0.930515
443,1433,0.930533
636,1586,0.930579
375,1325,0.930672
741,2790,0.930697
88,2137,0.930759
610,2659,0.930768
199,2208,0.930800
620,1570,0.930806
818,2867,0.930834
674,1624,0.930844
1634,2584,0.930883
1505,2455,0.930907
824,2873,0.930970
1924,2914,0.930977
953,1903,0.931018
967,1957,0.931018
914,1864,0.931040
1809,2799,0.931060
625,1575,0.931080
330,1280,0.931086
397,2406,0.931097
272,1222,0.931119
1969,2959,0.931124
486,2535,0.931130
509,1459,0.931162
782,1732,0.931201
1814,2764,0.931215
380,1330,0.931255
926,2975,0.931279
735,2784,0.931413
552,1502,0.931433
69,2118,0.931458
530,1480,0.931466
216,2265,0.931472
368,2417,0.931493
1855,2805,0.931524
882,1872,0.931529
1284,2274,0.931551
660,2709,0.931561
316,1266,0.931589
1211,2161,0.931653
583,1533,0.931703
689,2738,0.931729
648,1638,0.931740
9,2058,0.931782
305,2354,0.931834
514,1464,0.931841
285,2334,0.931875
1708,2658,0.931891
800,1790,0.931918
1866,2816,0.931925
986,1936,0.931946
921,2970,0.931985
1326,2316,0.932003
1206,2196,0.932010
626,2675,0.932058
1069,2019,0.932099
1895,2845,0.932105
115,2124,0.932171
1523,2513,0.932242
1788,2738,0.932254
906,2955,0.932295
346,1296,0.932311
162,1152,0.932340
719,2728,0.932344
1712,2662,0.932386
1294,2244,0.932390
513,1463,0.932400
1320,2310,0.932401
96,2145,0.932439
369,2418,0.932450
1752,2702,0.932456
145,1095,0.932466
847,1837,0.932509
704,2753,0.932509
1162,2152,0.932521
1377,2327,0.932563
954,1904,0.932570
242,2291,0.932581
898,2947,0.932586
129,2178,0.932590
564,2613,0.932639
345,1295,0.932690
864,2913,0.932701
1360,2350,0.932723
348,2397,0.932827
215,1165,0.932863
1102,2052,0.932927
336,1286,0.932955
1371,2321,0.932973
786,1736,0.932980
824,1774,0.933031
164,1154,0.933047
752,1702,0.933067
95,2144,0.933082
721,2770,0.933099
305,1255,0.933107
1428,2378,0.933144
1675,2625,0.933172
687,1677,0.933218
1406,2396,0.933231
2016,2966,0.933319
1322,2312,0.933352
2025,2975,0.933374
1833,2783,0.933389
853,2902,0.933391
532,1482,0.933461
944,2993,0.933461
1746,2696,0.933486
801,1791,0.933508
861,1811,0.933525
172,2221,0.933546
1659,2609,0.933659
981,1931,0.933672
1072,2022,0.933676
444,2493,0.933678
1703,2653,0.933680
892,1842,0.933687
360,1350,0.933734
849,2898,0.933758
71,1021,0.933762
663,1613,0.933792
901,1851,0.933805
1040,2030,0.933819
1877,2827,0.933837
1241,2231,0.933900
1380,2330,0.934000
893,2942,0.934066
1641,2631,0.934071
692,2741,0.934105
748,2797,0.934137
923,1913,0.934171
125,1115,0.934190
202,2251,0.934224
292,2341,0.934326
871,1821,0.934371
1453,2403,0.934400
471,2480,0.934413
1821,2771,0.934427
1122,2112,0.934473
664,1614,0.934474
170,2219,0.934518
528,2577,0.934520
1698,2648,0.934547
932,2981,0.934556
188,1138,0.934564
600,1590,0.934661
807,2856,0.934671
35,2044,0.934671
1658,2608,0.934680
322,1312,0.934781
794,2803,0.934795
17,2066,0.934814
439,1389,0.935006
1568,2558,0.935030
1799,2749,0.935148
308,2357,0.935161
965,1955,0.935203
44,2093,0.935218
877,2886,0.935237
1909,2859,0.935320
1510,2460,0.935351
1755,2705,0.935357
1184,2134,0.935584
617,1567,0.935594
112,1062,0.935605
221,2270,0.935614
16,966,0.935640
143,1093,0.935642
889,2938,0.935643
311,2320,0.935680
446,2495,0.935910
373,1323,0.935923
181,1131,0.935943
1515,2465,0.935945
1059,2009,0.935954
155,1105,0.936060
544,2593,0.936162
524,2573,0.936272
360,2409,0.936337
259,1209,0.936378
106,2155,0.936410
1093,2043,0.936422
1590,2540,0.936519
1209,2199,0.936522
120,2169,0.936536
401,2450,0.936605
1480,2470,0.936632
1098,2048,0.936658
702,1652,0.936695
266,2315,0.936756
1221,2171,0.936863
1437,2387,0.936913
860,2909,0.936922
1034,1984,0.936959
667,2716,0.937053
872,1822,0.937092
1985,2935,0.937140
631,2640,0.937174
570,2619,0.937183
1332,2282,0.937204
77,2086,0.937230
257,2306,0.937234
945,1895,0.937271
72,1022,0.937300
160,2209,0.937348
693,2742,0.937374
591,2600,0.937408
1981,2931,0.937418
307,1257,0.937485
1859,2809,0.937550
255,2304,0.937630
1385,2335,0.937632
272,2281,0.937684
14,2063,0.937697
741,1691,0.937712
1180,2130,0.937736
703,2752,0.937809
194,2203,0.937814
606,2655,0.937890
565,2614,0.937908
1874,2824,0.937930
1342,2292,0.937930
141,2190,0.938041
924,1914,0.938067
545,1495,0.938127
255,1205,0.938152
1885,2875,0.938157
611,2660,0.938251
