sat_i,sat_j,min_dist_km
3644,4538,0.525331
658,4763,0.525335
3053,3997,0.525336
3513,4407,0.525350
351,4456,0.525358
151,1095,0.525361
1144,2038,0.525364
3820,4714,0.525368
4046,4940,0.525377
2072,2966,0.525377
1129,2023,0.525377
2651,3595,0.525385
3518,4412,0.525398
2575,3469,0.525409
2110,3004,0.525413
356,4461,0.525423
186,1080,0.525434
3015,3909,0.525435
482,4587,0.525436
102,4207,0.525436
2570,3464,0.525439
707,1601,0.525442
2087,2981,0.525444
951,1895,0.525445
8,902,0.525452
1944,2838,0.525454
1632,2526,0.525457
400,1344,0.525465
4064,4958,0.525475
2887,3781,0.525480
405,1349,0.525486
3121,4015,0.525513
3830,4724,0.525523
884,4989,0.525538
2877,3771,0.525539
689,1583,0.525541
137,4242,0.525548
3958,4852,0.525550
2178,3072,0.525568
668,4773,0.525583
1398,2292,0.525586
3264,4158,0.525588
1708,2602,0.525598
3030,3924,0.525603
1167,2061,0.525607
1627,2521,0.525626
1235,2129,0.525637
640,4745,0.525660
717,1611,0.525661
1393,2287,0.525672
1650,2594,0.525689
531,1425,0.525702
3299,4193,0.525717
292,1186,0.525721
846,4901,0.525724
2341,3235,0.525725
519,1413,0.525756
1660,2554,0.525756
470,4575,0.525759
1462,2356,0.525769
3632,4526,0.525778
2405,3349,0.525798
2689,3583,0.525814
3752,4696,0.525815
2321,3215,0.525816
933,1827,0.525819
243,4348,0.525819
3973,4867,0.525841
3398,4292,0.525843
1934,2828,0.525847
3905,4849,0.525865
1746,2640,0.525867
2603,3547,0.525870
793,4898,0.525871
2962,3856,0.525896
3284,4178,0.525902
236,4341,0.525903
684,1578,0.525908
842,1736,0.525913
224,1118,0.525919
3355,4299,0.525932
753,1697,0.525938
2306,3200,0.525941
2299,3193,0.525952
895,1789,0.525958
2019,2913,0.525964
3242,4136,0.525966
765,1659,0.525969
2336,3230,0.525978
285,1179,0.525978
1785,2679,0.525991
1306,2200,0.525995
3596,4490,0.526003
2809,3703,0.526003
704,4809,0.526026
125,1019,0.526028
80,4185,0.526038
76,4181,0.526058
2412,3306,0.526058
1228,2122,0.526067
1076,1970,0.526070
1068,1962,0.526076
2643,3537,0.526077
363,1257,0.526095
2728,3622,0.526105
3659,4553,0.526109
2716,3610,0.526114
1378,2272,0.526119
122,4227,0.526119
1474,2368,0.526130
3866,4760,0.526132
434,4539,0.526154
811,4916,0.526160
129,1023,0.526165
3238,4132,0.526166
2171,3065,0.526171
74,968,0.526177
1017,1911,0.526187
1469,2363,0.526199
2011,2905,0.526201
547,4602,0.526203
133,1027,0.526214
1773,2667,0.526217
1363,2257,0.526220
1876,2770,0.526220
1866,2760,0.526226
261,1155,0.526245
1838,2732,0.526251
1204,2148,0.526252
3671,4565,0.526254
314,4419,0.526254
2923,3817,0.526257
635,4740,0.526286
25,4130,0.526287
3114,4008,0.526289
991,1885,0.526292
3327,4221,0.526292
1960,2854,0.526314
483,1377,0.526325
175,4280,0.526346
1072,1966,0.526348
526,1420,0.526352
2295,3189,0.526353
2384,3278,0.526365
2337,3231,0.526372
171,1065,0.526375
3280,4174,0.526376
212,4317,0.526377
165,4270,0.526379
3279,4173,0.526385
596,1490,0.526392
2197,3091,0.526397
84,4189,0.526397
1980,2874,0.526401
2954,3898,0.526402
830,1724,0.526419
71,4176,0.526420
4057,4951,0.526420
509,4614,0.526437
3233,4127,0.526454
3476,4370,0.526472
1016,1910,0.526475
923,1817,0.526482
716,4821,0.526496
435,1329,0.526496
1426,2320,0.526515
3187,4081,0.526516
477,4582,0.526518
1959,2853,0.526519
686,4791,0.526523
1394,2288,0.526548
420,1314,0.526552
2903,3847,0.526558
860,1754,0.526558
118,4223,0.526560
1037,1931,0.526563
1,945,0.526565
355,4460,0.526575
120,1014,0.526585
2015,2909,0.526586
1441,2335,0.526598
2781,3675,0.526604
735,1629,0.526606
3586,4480,0.526606
1302,2246,0.526619
3246,4140,0.526619
214,1108,0.526623
123,1017,0.526626
3374,4268,0.526649
73,967,0.526651
558,1452,0.526654
1114,2008,0.526671
3947,4841,0.526678
1539,2433,0.526678
3140,4034,0.526680
3848,4742,0.526681
404,1348,0.526682
1728,2622,0.526690
2290,3184,0.526690
3639,4533,0.526697
2417,3311,0.526719
781,4886,0.526721
994,1888,0.526723
2369,3263,0.526724
3517,4411,0.526729
3333,4227,0.526737
2819,3713,0.526743
94,988,0.526745
2533,3427,0.526750
785,1679,0.526757
3797,4691,0.526758
74,4179,0.526762
874,4979,0.526771
1066,1960,0.526773
2902,3846,0.526784
882,1776,0.526811
171,4276,0.526824
1825,2719,0.526833
268,4373,0.526842
2244,3138,0.526865
48,942,0.526871
2958,3852,0.526877
2253,3197,0.526881
3337,4231,0.526887
2696,3590,0.526888
117,4222,0.526893
1937,2831,0.526894
3808,4702,0.526895
401,1345,0.526904
1501,2445,0.526905
3896,4790,0.526918
167,1061,0.526921
317,1211,0.526924
2671,3565,0.526924
1678,2572,0.526929
371,4476,0.526937
45,4100,0.526946
386,4491,0.526946
1063,1957,0.526948
3293,4187,0.526950
3312,4206,0.526954
359,1253,0.526965
2865,3759,0.526969
2390,3284,0.526973
498,1392,0.526992
2057,2951,0.527007
2300,3244,0.527010
3724,4618,0.527018
3106,4000,0.527020
1157,2051,0.527025
785,4890,0.527028
1803,2747,0.527038
1397,2291,0.527048
24,4129,0.527049
2482,3376,0.527059
2431,3325,0.527062
2880,3774,0.527077
2855,3799,0.527081
1590,2484,0.527087
1703,2647,0.527091
4036,4930,0.527092
3534,4428,0.527095
4083,4977,0.527098
750,4855,0.527114
3430,4324,0.527123
3943,4837,0.527124
736,4841,0.527126
1347,2241,0.527127
833,4938,0.527132
2574,3468,0.527146
372,4477,0.527164
3157,4051,0.527168
1227,2121,0.527169
3878,4772,0.527177
