cam_sat,cam_tca,cam_dv_ms,num_degraded_crossings,num_unique_neighbors,worst_dist_km,worst_degradation_km,mean_degradation_km
8,2260680.66,0.0372,1,1,11.481921,0.051129,0.051129
11,1482424.79,0.2752,1,1,9.049395,2.481164,2.481164
13,254015.60,0.1248,1,1,0.277445,0.523919,0.523919
24,1843131.03,0.2749,1,1,12.592883,2.544858,2.544858
31,5230.76,0.0462,1,1,0.499158,0.334255,0.334255
37,2161125.18,0.0566,1,1,0.624348,0.176679,0.176679
39,1119719.86,0.1541,1,1,17.635855,0.610265,0.610265
48,1626703.29,0.0592,1,1,11.371255,0.152457,0.152457
49,2187595.53,0.1911,1,1,11.099652,0.437274,0.437274
55,694540.40,0.0993,1,1,10.837290,0.696162,0.696162
57,922868.61,0.1171,1,1,14.001676,1.139557,1.139557
58,2051305.78,0.0733,1,1,10.165145,0.191069,0.191069
63,650110.33,0.1336,2,2,15.054314,0.247666,0.172963
63,1363690.48,0.0853,1,1,14.459024,0.693550,0.693550
70,2329875.35,0.1321,1,1,10.812524,0.712443,0.712443
71,2364024.45,0.0962,1,1,0.697087,0.112168,0.112168
72,2366209.58,0.1214,1,1,10.374123,1.150810,1.150810
75,12769.77,0.0378,1,1,10.203954,0.164474,0.164474
75,1770469.97,0.1185,1,1,0.737789,0.059976,0.059976
79,1529889.51,0.2429,2,2,9.480929,0.873214,0.565006
81,1531309.95,0.2213,1,1,9.271268,2.267059,2.267059
81,1982214.49,0.0716,1,1,0.581819,0.213306,0.213306
82,886180.01,0.2140,1,1,9.759016,1.792518,1.792518
82,1824858.67,0.1187,1,1,11.111992,0.439542,0.439542
88,2525515.56,0.1009,1,1,10.700206,0.829545,0.829545
89,1969239.57,0.1677,1,1,9.775440,0.584790,0.584790
89,2040036.17,0.0727,1,1,18.181753,0.059619,0.059619
91,1532749.80,0.0752,1,1,10.484829,1.035939,1.035939
94,1643689.52,0.0317,1,1,11.233630,0.290525,0.290525
97,319635.02,0.0643,1,1,0.050464,0.748780,0.748780
97,704010.57,0.1216,1,1,11.474642,0.049975,0.049975
97,2275175.68,0.0263,1,1,14.833952,0.329796,0.329796
98,325800.21,0.1298,1,1,10.380634,1.157441,1.157441
104,2199754.24,0.1433,1,1,11.059703,0.468159,0.468159
111,1194901.39,0.1509,2,2,9.848212,0.505795,0.447060
111,1802169.39,0.2233,1,1,10.291481,0.062526,0.062526
120,554676.05,0.0633,1,1,0.523859,0.275188,0.275188
122,576205.69,0.0731,1,1,11.329588,0.200940,0.200940
122,1609664.89,0.1335,1,1,17.369959,0.882561,0.882561
131,1438410.10,0.2948,2,2,9.934631,0.418566,0.244347
134,118805.68,0.1776,1,1,11.437113,0.083765,0.083765
153,711610.53,0.2273,2,2,10.134333,0.556329,0.390553
154,737764.18,0.1438,1,1,10.354815,1.165855,1.165855
156,2010630.05,0.0687,1,1,0.565341,0.269128,0.269128
157,1487804.46,0.2507,1,1,9.819337,0.560834,0.560834
159,1167855.33,0.1375,1,1,11.056758,0.465313,0.465313
160,696584.79,0.0312,1,1,0.723447,0.077866,0.077866
161,2004019.91,0.0316,1,1,14.910872,0.230683,0.230683
162,1771902.67,0.0421,1,1,11.266162,0.256348,0.256348
163,1771315.54,0.1633,1,1,17.602160,0.663324,0.663324
165,1965968.25,0.0382,1,1,18.233374,0.007709,0.007709
166,1287953.28,0.0746,1,1,10.931045,0.594504,0.594504
167,2464689.96,0.3148,1,1,9.787743,1.740041,1.740041
168,819839.51,0.2239,1,1,8.437862,3.084510,3.084510
170,53360.18,0.2858,1,1,13.782121,1.384861,1.384861
184,542880.61,0.0536,1,1,11.503288,0.019314,0.019314
187,353795.10,0.0679,1,1,10.284515,0.079473,0.079473
188,1830079.37,0.2211,1,1,9.605585,1.923599,1.923599
190,1092601.06,0.2245,1,1,10.986223,0.536518,0.536518
190,1126044.53,0.0999,1,1,14.319896,0.822662,0.822662
190,1318049.27,0.3599,1,1,9.097557,2.425184,2.425184
194,532860.00,0.1239,2,2,14.598814,1.019663,0.796395
204,2337443.72,0.1094,1,1,0.736506,0.116001,0.116001
208,1794664.33,0.2007,1,1,10.866430,0.661036,0.661036
224,1001905.24,0.0215,1,1,18.226975,0.014029,0.014029
226,2207488.21,0.1431,1,1,11.241979,0.283071,0.283071
227,329224.35,0.1631,1,1,17.737243,0.508643,0.508643
228,1541814.84,0.1225,1,1,0.777895,0.020484,0.020484
235,937230.56,0.1044,1,1,11.267980,0.256443,0.256443
236,475733.53,0.2831,1,1,7.950828,2.427550,2.427550
237,2213851.18,0.0886,1,1,14.672960,0.464927,0.464927
243,2471750.75,0.2426,2,2,9.263209,1.924554,1.508276
245,1491014.97,0.1537,1,1,10.995430,0.548935,0.548935
251,2450894.53,0.1211,1,1,9.838296,0.562915,0.562915
254,1942355.87,0.0528,1,1,0.773403,0.025550,0.025550
259,2313859.21,0.1091,1,1,14.167269,0.979592,0.979592
260,1348670.27,0.0244,2,2,15.104036,0.093021,0.065840
263,749338.62,0.1006,1,1,10.320855,1.205505,1.205505
264,2584600.25,0.1081,1,1,10.458151,1.065294,1.065294
269,735873.99,0.1384,1,1,11.522156,0.013970,0.013970
272,2157148.98,0.0222,1,1,18.097916,0.141608,0.141608
273,1639829.79,0.1236,1,1,9.737356,1.784949,1.784949
275,2021854.65,0.0300,1,1,0.590732,0.212404,0.212404
283,1018990.04,0.0951,1,1,14.609925,0.538797,0.538797
285,2581379.66,0.0533,1,1,0.342014,0.453232,0.453232
287,785534.65,0.0519,1,1,0.715391,0.080824,0.080824
287,1175325.17,0.0147,1,1,0.692117,0.104098,0.104098
291,1107674.24,0.0334,1,1,18.115915,0.127342,0.127342
294,520640.32,0.0662,1,1,0.040699,0.756605,0.756605
295,1305658.83,0.1020,1,1,10.743631,0.777249,0.777249
295,1928915.19,0.1749,1,1,0.219835,0.578831,0.578831
297,394340.13,0.0678,1,1,11.476729,0.044641,0.044641
299,70404.18,0.2001,1,1,13.939216,1.203030,1.203030
