obj_i,obj_j,miss_km,Pc,dv_ms,type,tca,cam_sat_idx
91,4898,5.669694,4.134389e-49,0.0000,sat-debris,778634.523356,91
37,3906,4.209785,3.895516e-49,0.0000,sat-debris,558478.867088,37
18,4798,6.495941,3.632226e-49,0.0000,sat-debris,712184.319137,18
63,4815,6.187545,3.614447e-49,0.0000,sat-debris,472279.873325,63
92,4971,5.562078,3.323274e-49,0.0000,sat-debris,452253.616011,92
54,4652,7.826601,3.212882e-49,0.0000,sat-debris,546069.079695,54
29,4589,3.147067,2.828629e-49,0.0000,sat-debris,474363.446482,29
91,4965,3.398369,2.595171e-49,0.0000,sat-debris,487188.725614,91
39,4861,7.110711,2.538494e-49,0.0000,sat-debris,447489.884323,39
89,5012,6.032264,2.494732e-49,0.0000,sat-debris,474380.453977,89
97,4984,4.776559,2.472150e-49,0.0000,sat-debris,512331.899574,97
5,5156,7.966781,2.422789e-49,0.0000,sat-debris,654536.016680,5
99,3668,3.034821,2.420305e-49,0.0000,sat-debris,631475.024243,99
73,3556,3.272665,2.300082e-49,0.0000,sat-debris,620663.557765,73
15,3813,3.230206,2.154928e-49,0.0000,sat-debris,516807.068876,15
26,4000,3.743288,2.114688e-49,0.0000,sat-debris,713665.545748,26
2,4152,7.232455,2.037715e-49,0.0000,sat-debris,450880.019656,2
41,4493,3.193907,1.963849e-49,0.0000,sat-debris,599029.241955,41
43,14256,5.219359,1.686099e-49,0.0000,sat-debris,724130.602505,43
59,3759,6.959919,1.599400e-49,0.0000,sat-debris,842319.999731,59
23,3449,9.370620,1.549717e-49,0.0000,sat-debris,550449.781974,23
22,4494,7.837051,1.480416e-49,0.0000,sat-debris,684820.258344,22
43,4221,6.665248,1.446965e-49,0.0000,sat-debris,686020.632391,43
60,3970,3.440508,1.343707e-49,0.0000,sat-debris,450549.454418,60
28,3481,8.674887,1.315773e-49,0.0000,sat-debris,486819.538401,28
8,3702,5.397627,1.286172e-49,0.0000,sat-debris,801412.896979,8
93,4947,3.902036,1.192522e-49,0.0000,sat-debris,574864.193328,93
99,6718,3.516762,1.191169e-49,0.0000,sat-debris,681034.512124,99
75,3551,2.979465,1.103609e-49,0.0000,sat-debris,797051.972642,75
63,4069,7.141147,1.086507e-49,0.0000,sat-debris,462739.606702,63
55,4912,5.747100,1.003744e-49,0.0000,sat-debris,470935.467568,55
4,5161,4.542363,9.896037e-50,0.0000,sat-debris,457397.993171,4
68,3946,3.344051,9.843681e-50,0.0000,sat-debris,620784.934706,68
89,4089,5.410181,9.825787e-50,0.0000,sat-debris,780422.331218,89
42,4498,4.462178,9.210576e-50,0.0000,sat-debris,569822.190597,42
14,1904,3.006970,8.650344e-50,0.0000,sat-debris,556705.300313,14
54,4076,6.945942,8.557783e-50,0.0000,sat-debris,450999.213698,54
87,3350,4.798202,8.543918e-50,0.0000,sat-debris,601884.813605,87
78,2779,2.989000,8.480745e-50,0.0000,sat-debris,734734.518315,78
87,4374,3.045433,7.286396e-50,0.0000,sat-debris,531699.733169,87
1,4210,5.010492,7.247708e-50,0.0000,sat-debris,645320.522383,1
5,4392,7.228750,6.954490e-50,0.0000,sat-debris,615024.751320,5
54,5014,4.927407,6.785153e-50,0.0000,sat-debris,610179.820989,54
47,4607,6.717793,6.693636e-50,0.0000,sat-debris,810019.347834,47
37,4501,3.343545,6.199077e-50,0.0000,sat-debris,452630.073684,37
99,5016,6.084591,6.048291e-50,0.0000,sat-debris,668836.645166,99
46,4146,5.378807,5.494042e-50,0.0000,sat-debris,659198.644407,46
37,4592,3.180493,5.080774e-50,0.0000,sat-debris,810335.715681,37
72,4069,7.106459,4.970836e-50,0.0000,sat-debris,611849.418511,72
98,4662,6.470870,4.758318e-50,0.0000,sat-debris,769004.712987,98
49,3949,5.942921,4.732170e-50,0.0000,sat-debris,491725.366247,49
3,4216,4.151321,4.553284e-50,0.0000,sat-debris,664167.084616,3
96,3552,8.131541,4.358550e-50,0.0000,sat-debris,495294.844318,96
18,3701,4.475789,4.329882e-50,0.0000,sat-debris,838390.069385,18
55,4262,3.212672,4.329092e-50,0.0000,sat-debris,753864.567356,55
28,4594,3.467697,4.224995e-50,0.0000,sat-debris,683966.567775,28
59,4382,4.069918,4.002896e-50,0.0000,sat-debris,817734.163605,59
26,4272,7.681599,3.888043e-50,0.0000,sat-debris,768271.695289,26
22,3724,7.864455,3.727680e-50,0.0000,sat-debris,600944.390272,22
84,5143,6.941713,3.709113e-50,0.0000,sat-debris,718145.611881,84
17,5011,4.360328,3.654757e-50,0.0000,sat-debris,798955.173606,17
74,4011,3.003272,3.571949e-50,0.0000,sat-debris,667244.266099,74
25,4605,4.543208,3.352485e-50,0.0000,sat-debris,668534.034303,25
68,4372,6.983114,3.215651e-50,0.0000,sat-debris,614780.700574,68
89,3622,4.076943,3.197330e-50,0.0000,sat-debris,562774.604462,89
20,4615,3.491310,3.155853e-50,0.0000,sat-debris,654216.274454,20
17,7744,6.551009,3.098593e-50,0.0000,sat-debris,825339.344831,17
60,4453,4.234751,3.085764e-50,0.0000,sat-debris,605201.476563,60
93,3485,8.188858,3.011832e-50,0.0000,sat-debris,748119.605122,93
70,3968,3.623543,2.902124e-50,0.0000,sat-debris,710874.458874,70
1,4092,8.349972,2.891083e-50,0.0000,sat-debris,607509.573292,1
47,4137,7.011308,2.824295e-50,0.0000,sat-debris,733159.605362,47
60,4157,6.054929,2.703688e-50,0.0000,sat-debris,590614.074386,60
67,4676,3.143468,2.589648e-50,0.0000,sat-debris,710124.064145,67
5,4028,7.702641,2.435944e-50,0.0000,sat-debris,505665.344658,5
96,3763,6.684736,2.298593e-50,0.0000,sat-debris,785174.201688,96
58,4008,5.270192,2.296842e-50,0.0000,sat-debris,574280.450913,58
6,3821,3.770654,2.290992e-50,0.0000,sat-debris,797005.835668,6
27,4391,7.612375,2.167947e-50,0.0000,sat-debris,756404.459565,27
41,4766,7.747154,2.054317e-50,0.0000,sat-debris,834879.949697,41
60,4721,3.915147,2.045113e-50,0.0000,sat-debris,614017.782156,60
77,4878,3.917774,2.014170e-50,0.0000,sat-debris,578584.694549,77
17,4207,4.219151,1.976396e-50,0.0000,sat-debris,681661.756118,17
8,2324,4.108132,1.641457e-50,0.0000,sat-debris,735400.433067,8
28,4227,5.873509,1.618600e-50,0.0000,sat-debris,506220.579845,28
17,3767,6.385485,1.547629e-50,0.0000,sat-debris,504096.615237,17
86,265,5.116590,1.524948e-50,0.0000,sat-debris,571803.092331,86
77,4099,3.216340,1.481328e-50,0.0000,sat-debris,856152.862173,77
3,3755,3.046400,1.412544e-50,0.0000,sat-debris,503731.809275,3
35,3904,6.264142,1.293725e-50,0.0000,sat-debris,740023.309419,35
24,3830,3.960472,1.259877e-50,0.0000,sat-debris,749014.341853,24
86,4213,8.136244,1.258347e-50,0.0000,sat-debris,442024.582728,86
97,4941,3.557759,1.230703e-50,0.0000,sat-debris,798611.184423,97
14,8023,4.941952,1.184446e-50,0.0000,sat-debris,485440.853543,14
18,3565,3.017537,1.159601e-50,0.0000,sat-debris,450020.354999,18
1,4961,4.109256,1.136798e-50,0.0000,sat-debris,647961.806452,1
33,4514,3.039380,1.110333e-50,0.0000,sat-debris,589445.943052,33
79,3620,6.736971,1.096581e-50,0.0000,sat-debris,554450.071575,79
65,3481,4.039671,9.553052e-51,0.0000,sat-debris,521920.023311,65
60,3942,5.168439,7.699813e-51,0.0000,sat-debris,442113.565494,60
74,5026,5.389177,7.505713e-51,0.0000,sat-debris,494654.441084,74
24,4213,6.414825,7.119453e-51,0.0000,sat-debris,668919.601838,24
50,4513,3.294629,6.785607e-51,0.0000,sat-debris,808329.851600,50
80,3534,4.870760,6.600925e-51,0.0000,sat-debris,630770.659244,80
29,3992,3.732968,6.459867e-51,0.0000,sat-debris,797775.524814,29
70,4731,7.349447,6.241000e-51,0.0000,sat-debris,507631.535086,70
50,3699,3.428088,6.211760e-51,0.0000,sat-debris,652364.382030,50
90,3670,3.043791,6.037129e-51,0.0000,sat-debris,559315.893115,90
24,3760,7.149604,5.297950e-51,0.0000,sat-debris,559970.249084,24
98,4721,4.170224,5.243641e-51,0.0000,sat-debris,852109.269580,98
4,3759,5.369248,4.971637e-51,0.0000,sat-debris,746553.875115,4
69,3489,5.270860,3.932449e-51,0.0000,sat-debris,734389.974682,69
53,4159,8.971710,3.909202e-51,0.0000,sat-debris,543360.807741,53
55,4074,5.335660,3.893555e-51,0.0000,sat-debris,822675.442771,55
9,4592,7.672636,3.741754e-51,0.0000,sat-debris,583699.547080,9
57,4366,4.957881,3.681285e-51,0.0000,sat-debris,601285.711756,57
92,4801,4.056790,3.625431e-51,0.0000,sat-debris,775704.077827,92
82,3522,5.628368,3.552180e-51,0.0000,sat-debris,715581.075149,82
79,4371,3.039028,3.136042e-51,0.0000,sat-debris,754244.159593,79
7,4604,6.738527,3.126655e-51,0.0000,sat-debris,607690.388072,7
82,4652,4.392834,2.937233e-51,0.0000,sat-debris,724039.954119,82
89,4500,7.210646,2.916989e-51,0.0000,sat-debris,676155.338810,89
59,3892,5.616854,2.873999e-51,0.0000,sat-debris,694334.946215,59
14,4950,3.515746,2.647189e-51,0.0000,sat-debris,843570.565303,14
55,3525,9.269387,2.439921e-51,0.0000,sat-debris,746090.438246,55
82,4915,5.842235,2.307548e-51,0.0000,sat-debris,703879.972606,82
69,3462,7.127096,2.300293e-51,0.0000,sat-debris,720399.425441,69
27,4004,5.162019,2.241141e-51,0.0000,sat-debris,589964.328430,27
65,3511,5.263423,2.105378e-51,0.0000,sat-debris,662170.455340,65
51,4375,4.155816,2.102542e-51,0.0000,sat-debris,670582.529411,51
25,4126,8.104518,2.070413e-51,0.0000,sat-debris,631745.591265,25
93,5022,4.608440,1.859559e-51,0.0000,sat-debris,809717.485882,93
1,3443,7.776654,1.749503e-51,0.0000,sat-debris,538179.851871,1
56,3481,7.761740,1.647398e-51,0.0000,sat-debris,753539.792120,56
11,4967,3.124663,1.606363e-51,0.0000,sat-debris,567479.606279,11
76,4152,7.267068,1.477269e-51,0.0000,sat-debris,798769.460480,76
2,4212,5.054640,1.392076e-51,0.0000,sat-debris,779278.152892,2
59,3583,7.836003,1.379591e-51,0.0000,sat-debris,763394.477211,59
36,4957,6.161444,1.299428e-51,0.0000,sat-debris,472425.675579,36
78,3555,6.992458,1.295976e-51,0.0000,sat-debris,454581.635776,78
99,4959,4.195957,1.247837e-51,0.0000,sat-debris,476930.798127,99
82,3613,3.221568,1.151621e-51,0.0000,sat-debris,460834.924250,82
44,4380,3.576899,1.087823e-51,0.0000,sat-debris,732067.409316,44
42,2453,3.649093,1.083971e-51,0.0000,sat-debris,670584.605258,42
14,3934,8.889319,1.056392e-51,0.0000,sat-debris,586380.298806,14
74,4451,5.692771,1.041749e-51,0.0000,sat-debris,860375.111818,74
36,3580,5.735533,9.837158e-52,0.0000,sat-debris,510715.750841,36
74,4912,4.763421,9.288660e-52,0.0000,sat-debris,843300.392926,74
10,5023,5.423499,9.033673e-52,0.0000,sat-debris,814219.425125,10
33,3699,5.317851,8.524962e-52,0.0000,sat-debris,474099.945714,33
70,3943,7.000479,8.450090e-52,0.0000,sat-debris,579265.436711,70
83,4845,3.781638,7.205697e-52,0.0000,sat-debris,463329.564132,83
83,3924,7.696490,7.040422e-52,0.0000,sat-debris,825299.844010,83
29,4612,5.039006,6.702442e-52,0.0000,sat-debris,663326.279613,29
6,3697,6.261233,6.667958e-52,0.0000,sat-debris,848373.742362,6
91,4844,3.084243,6.500268e-52,0.0000,sat-debris,836454.712649,91
13,3940,7.790617,6.405195e-52,0.0000,sat-debris,444890.298078,13
51,3570,4.005265,6.369911e-52,0.0000,sat-debris,859605.318984,51
38,4503,4.137986,5.914377e-52,0.0000,sat-debris,764174.309946,38
80,4148,8.015576,5.882552e-52,0.0000,sat-debris,532645.445265,80
56,4367,3.575700,5.860410e-52,0.0000,sat-debris,702079.861633,56
91,5162,3.137652,5.839554e-52,0.0000,sat-debris,504609.424946,91
5,4222,3.087539,5.357736e-52,0.0000,sat-debris,442535.582379,5
8,3700,3.109371,5.327047e-52,0.0000,sat-debris,669693.692646,8
28,4012,6.139266,5.319615e-52,0.0000,sat-debris,724034.664710,28
60,4903,3.631806,5.294975e-52,0.0000,sat-debris,510717.810380,60
63,4449,8.022273,5.149059e-52,0.0000,sat-debris,752385.452891,63
10,9100,6.223366,5.044768e-52,0.0000,sat-debris,660240.181851,10
6,4972,4.082511,4.675989e-52,0.0000,sat-debris,750988.532340,6
88,4812,3.448694,4.641689e-52,0.0000,sat-debris,792467.049025,88
65,3450,5.314546,4.499022e-52,0.0000,sat-debris,453567.933263,65
30,3949,7.372523,4.451471e-52,0.0000,sat-debris,571620.404649,30
68,4282,5.227775,4.253761e-52,0.0000,sat-debris,754515.413979,68
67,8869,4.555646,4.218884e-52,0.0000,sat-debris,769834.823295,67
32,4392,6.282617,4.136448e-52,0.0000,sat-debris,438311.460163,32
94,3732,4.111771,3.567242e-52,0.0000,sat-debris,637202.458107,94
99,5170,4.392290,3.544035e-52,0.0000,sat-debris,574451.086029,99
46,4005,6.150895,3.201276e-52,0.0000,sat-debris,822015.374596,46
54,3576,4.973327,2.751643e-52,0.0000,sat-debris,482774.605524,54
52,4664,3.140205,2.659956e-52,0.0000,sat-debris,555800.052134,52
56,4861,7.678817,2.655412e-52,0.0000,sat-debris,757445.540845,56
61,2078,5.016757,2.597782e-52,0.0000,sat-debris,767384.866111,61
60,3421,3.124673,2.578234e-52,0.0000,sat-debris,631058.876810,60
57,4073,9.387451,2.329990e-52,0.0000,sat-debris,483724.733108,57
37,4291,4.712166,2.111917e-52,0.0000,sat-debris,569857.275686,37
25,4221,5.622922,2.076420e-52,0.0000,sat-debris,794284.525484,25
6,4022,7.852839,1.860334e-52,0.0000,sat-debris,642595.842752,6
50,4138,5.211577,1.746638e-52,0.0000,sat-debris,573741.049773,50
78,4144,7.324120,1.694043e-52,0.0000,sat-debris,734630.043029,78
85,3612,5.829112,1.683826e-52,0.0000,sat-debris,510659.514103,85
45,4076,3.080050,1.605240e-52,0.0000,sat-debris,676888.104364,45
88,1916,7.829903,1.589013e-52,0.0000,sat-debris,596184.359075,88
61,3943,3.233084,1.574688e-52,0.0000,sat-debris,836699.113268,61
0,4290,6.951211,1.444210e-52,0.0000,sat-debris,703459.202537,0
97,4857,3.166589,1.386520e-52,0.0000,sat-debris,861646.801447,97
69,4791,6.374509,1.277775e-52,0.0000,sat-debris,468581.481961,69
89,3812,7.103523,1.199343e-52,0.0000,sat-debris,657969.749337,89
19,4007,4.239593,1.105848e-52,0.0000,sat-debris,531812.841164,19
88,4087,3.804934,1.089444e-52,0.0000,sat-debris,500376.695630,88
14,5156,7.568446,1.060431e-52,0.0000,sat-debris,460142.338213,14
87,4882,5.449165,1.003143e-52,0.0000,sat-debris,564017.893826,87
14,4925,7.213222,9.728269e-53,0.0000,sat-debris,724865.098716,14
80,4974,3.092777,8.616435e-53,0.0000,sat-debris,470825.636177,80
60,3618,8.034869,8.329003e-53,0.0000,sat-debris,594230.019087,60
94,3653,3.083930,8.250292e-53,0.0000,sat-debris,528169.431605,94
72,4449,8.204154,7.099526e-53,0.0000,sat-debris,509315.073010,72
47,4290,5.426142,6.951446e-53,0.0000,sat-debris,752870.585523,47
39,4489,5.586409,6.800851e-53,0.0000,sat-debris,789373.197666,39
20,4215,3.103671,6.642399e-53,0.0000,sat-debris,754195.019644,20
97,4375,7.082461,6.544437e-53,0.0000,sat-debris,763200.170680,97
45,4390,4.558897,6.532738e-53,0.0000,sat-debris,762993.270571,45
32,4295,5.969206,6.435137e-53,0.0000,sat-debris,838970.162925,32
44,4990,7.172019,6.386129e-53,0.0000,sat-debris,478665.255735,44
70,3548,3.581727,6.089087e-53,0.0000,sat-debris,734055.628754,70
24,4201,5.437632,5.456067e-53,0.0000,sat-debris,634555.491441,24
50,4374,3.218183,5.199320e-53,0.0000,sat-debris,860142.782893,50
94,3616,4.248807,4.980931e-53,0.0000,sat-debris,757299.006842,94
94,4950,5.363298,4.531265e-53,0.0000,sat-debris,445434.506327,94
61,3424,5.336626,4.511463e-53,0.0000,sat-debris,527401.283067,61
68,4894,4.491096,4.283944e-53,0.0000,sat-debris,574908.887689,68
91,3726,3.401961,4.201900e-53,0.0000,sat-debris,644705.773065,91
97,4976,6.114029,4.136814e-53,0.0000,sat-debris,460842.629525,97
62,4891,3.254267,4.125713e-53,0.0000,sat-debris,595586.359646,62
6,3763,5.687447,3.946290e-53,0.0000,sat-debris,544966.991868,6
56,15372,5.490609,3.705921e-53,0.0000,sat-debris,705899.829202,56
38,4859,7.630515,3.552914e-53,0.0000,sat-debris,574054.448880,38
66,4920,4.057229,3.545818e-53,0.0000,sat-debris,484353.159653,66
12,3754,4.098477,2.923745e-53,0.0000,sat-debris,632952.160623,12
40,4492,4.197086,2.821081e-53,0.0000,sat-debris,794317.198085,40
13,4808,7.332746,2.745119e-53,0.0000,sat-debris,726499.256872,13
19,4034,5.899966,2.491335e-53,0.0000,sat-debris,611874.472576,19
49,4587,3.588999,2.430039e-53,0.0000,sat-debris,811798.626161,49
99,4230,7.600111,2.410602e-53,0.0000,sat-debris,829355.644676,99
96,4952,4.317049,2.407612e-53,0.0000,sat-debris,764996.442346,96
27,4147,4.523426,2.310473e-53,0.0000,sat-debris,530310.786605,27
51,3923,3.111541,2.286799e-53,0.0000,sat-debris,461183.876906,51
31,3930,4.607093,2.247187e-53,0.0000,sat-debris,745128.323522,31
36,276,6.899760,2.186844e-53,0.0000,sat-debris,673430.426317,36
21,3433,3.777162,2.166535e-53,0.0000,sat-debris,617575.404052,21
97,4835,3.917872,2.094814e-53,0.0000,sat-debris,861500.672354,97
37,3511,5.839950,2.005926e-53,0.0000,sat-debris,469889.320516,37
15,4032,5.538066,1.974451e-53,0.0000,sat-debris,768854.778108,15
91,4215,3.524076,1.937830e-53,0.0000,sat-debris,567634.876316,91
83,4971,6.413736,1.712602e-53,0.0000,sat-debris,683871.078565,83
98,4956,6.167464,1.680095e-53,0.0000,sat-debris,569135.243394,98
18,4606,3.694024,1.650000e-53,0.0000,sat-debris,724263.153081,18
65,3553,6.646047,1.585974e-53,0.0000,sat-debris,688443.590538,65
16,5129,5.293969,1.555725e-53,0.0000,sat-debris,507679.882097,16
45,4304,4.149574,1.553724e-53,0.0000,sat-debris,711005.257935,45
81,4818,3.270646,1.485169e-53,0.0000,sat-debris,573124.678088,81
80,3427,5.887395,1.456846e-53,0.0000,sat-debris,599164.868799,80
44,3917,5.480501,1.426324e-53,0.0000,sat-debris,829119.441243,44
54,4452,5.050198,1.244238e-53,0.0000,sat-debris,514354.989088,54
81,3647,6.236603,1.160053e-53,0.0000,sat-debris,667603.039272,81
95,3830,9.202999,1.134386e-53,0.0000,sat-debris,573905.269220,95
18,4990,6.417304,1.118668e-53,0.0000,sat-debris,695159.669984,18
24,4297,3.560819,1.084720e-53,0.0000,sat-debris,480088.305573,24
44,4302,3.637484,1.023335e-53,0.0000,sat-debris,857615.048418,44
62,4126,4.212364,7.510044e-54,0.0000,sat-debris,684020.364075,62
7,4043,4.424082,6.955404e-54,0.0000,sat-debris,820100.220654,7
87,4955,6.257098,6.180684e-54,0.0000,sat-debris,486919.549016,87
53,3900,5.523633,5.711665e-54,0.0000,sat-debris,780810.001444,53
69,4441,4.952539,4.931916e-54,0.0000,sat-debris,820564.564428,69
2,3650,6.970196,4.229089e-54,0.0000,sat-debris,658479.663690,2
55,3473,6.423933,4.059779e-54,0.0000,sat-debris,436269.524487,55
16,3866,6.175521,4.040168e-54,0.0000,sat-debris,573671.378104,16
88,4735,3.134194,3.889478e-54,0.0000,sat-debris,794994.558472,88
99,4855,7.404785,3.667105e-54,0.0000,sat-debris,534063.448162,99
45,4001,6.967906,3.584202e-54,0.0000,sat-debris,587784.614241,45
56,4501,3.419660,3.410060e-54,0.0000,sat-debris,847901.306790,56
73,3650,4.854201,3.214292e-54,0.0000,sat-debris,460476.674106,73
36,4391,4.995187,3.177464e-54,0.0000,sat-debris,530514.073964,36
32,5161,7.995226,3.107389e-54,0.0000,sat-debris,721249.713863,32
5,3458,8.059726,3.015659e-54,0.0000,sat-debris,547455.006192,5
94,4851,7.850169,2.590659e-54,0.0000,sat-debris,611382.977500,94
95,3658,5.700253,2.335176e-54,0.0000,sat-debris,736849.706922,95
31,4218,8.529027,2.306215e-54,0.0000,sat-debris,487054.939604,31
48,3935,3.660819,2.252538e-54,0.0000,sat-debris,692191.452484,48
55,3840,3.919504,2.233389e-54,0.0000,sat-debris,802444.576861,55
62,3972,4.287245,2.176471e-54,0.0000,sat-debris,838834.883084,62
99,2207,3.141823,2.106366e-54,0.0000,sat-debris,588240.304385,99
75,4722,4.868359,1.913639e-54,0.0000,sat-debris,533553.774441,75
93,3756,4.624430,1.757004e-54,0.0000,sat-debris,723896.041216,93
71,4095,3.146070,1.733763e-54,0.0000,sat-debris,538934.755171,71
2,4280,3.241242,1.702986e-54,0.0000,sat-debris,544894.881186,2
49,4153,3.135678,1.439058e-54,0.0000,sat-debris,803519.507061,49
30,4056,3.144140,1.402049e-54,0.0000,sat-debris,717239.670571,30
78,4675,5.920661,1.391065e-54,0.0000,sat-debris,660664.471163,78
25,4024,6.113361,1.353707e-54,0.0000,sat-debris,528173.102318,25
46,4592,7.531865,1.235959e-54,0.0000,sat-debris,604485.938373,46
58,3963,3.664933,1.138908e-54,0.0000,sat-debris,778393.343911,58
82,4820,5.090227,1.129858e-54,0.0000,sat-debris,437968.933304,82
1,5157,3.431338,1.124661e-54,0.0000,sat-debris,779824.726859,1
15,4219,7.201001,1.097234e-54,0.0000,sat-debris,674273.531885,15
98,4860,4.507529,9.554408e-55,0.0000,sat-debris,634887.638858,98
74,3964,6.674697,8.913946e-55,0.0000,sat-debris,634189.649972,74
56,3511,3.227427,7.673214e-55,0.0000,sat-debris,833665.438735,56
4,4220,3.898856,7.484739e-55,0.0000,sat-debris,537601.904139,4
60,4379,5.494917,7.207335e-55,0.0000,sat-debris,728090.335268,60
18,4228,7.036784,6.235573e-55,0.0000,sat-debris,792820.554764,18
80,4091,7.188325,6.119213e-55,0.0000,sat-debris,782714.371009,80
89,3436,5.347204,6.032363e-55,0.0000,sat-debris,771546.086539,89
86,4222,4.190089,4.518574e-55,0.0000,sat-debris,719695.929852,86
79,4512,3.158661,4.234580e-55,0.0000,sat-debris,593470.377001,79
89,4798,5.384370,3.851592e-55,0.0000,sat-debris,442608.136553,89
95,3631,5.213174,3.774651e-55,0.0000,sat-debris,862727.020826,95
12,4027,4.523110,3.561360e-55,0.0000,sat-debris,544359.190799,12
96,4850,3.210992,3.517073e-55,0.0000,sat-debris,839313.213917,96
49,4139,3.164216,3.404552e-55,0.0000,sat-debris,563069.022266,49
64,3565,9.836865,3.221336e-55,0.0000,sat-debris,705810.132608,64
61,5018,8.127440,3.147918e-55,0.0000,sat-debris,708750.406933,61
5,3946,8.304788,3.061062e-55,0.0000,sat-debris,524430.226964,5
88,4791,4.387643,3.027873e-55,0.0000,sat-debris,838084.700560,88
83,3608,5.390471,3.010081e-55,0.0000,sat-debris,697929.894584,83
55,3905,4.748578,2.960692e-55,0.0000,sat-debris,771075.917330,55
89,4956,3.446228,2.873454e-55,0.0000,sat-debris,786435.387755,89
30,4018,3.163487,2.838786e-55,0.0000,sat-debris,490639.344499,30
1,3667,3.341715,2.677912e-55,0.0000,sat-debris,650741.814270,1
82,4452,4.651584,2.445098e-55,0.0000,sat-debris,821150.806070,82
92,5153,7.513304,2.395812e-55,0.0000,sat-debris,787490.374753,92
50,3463,4.672927,2.167622e-55,0.0000,sat-debris,453781.260022,50
33,4299,8.077736,2.065683e-55,0.0000,sat-debris,723859.334873,33
2,4863,5.388030,1.828353e-55,0.0000,sat-debris,784674.290629,2
31,4277,7.085643,1.787946e-55,0.0000,sat-debris,501707.268742,31
98,4734,5.887962,1.766277e-55,0.0000,sat-debris,792044.011136,98
91,5017,5.570107,1.628721e-55,0.0000,sat-debris,481565.058842,91
91,4050,4.745810,1.448347e-55,0.0000,sat-debris,643045.257699,91
64,3958,4.263551,1.387665e-55,0.0000,sat-debris,800519.305559,64
93,3614,8.260827,1.382507e-55,0.0000,sat-debris,823730.964739,93
72,3705,3.586204,1.274742e-55,0.0000,sat-debris,584530.987430,72
79,220,5.364038,1.181612e-55,0.0000,sat-debris,437549.591501,79
0,4800,4.225223,1.081371e-55,0.0000,sat-debris,765720.501946,0
54,4390,3.172546,1.080183e-55,0.0000,sat-debris,519963.819888,54
87,4852,4.907729,1.077286e-55,0.0000,sat-debris,587029.525982,87
88,3951,3.662838,1.019334e-55,0.0000,sat-debris,834930.294372,88
70,3866,7.537371,9.631425e-56,0.0000,sat-debris,721209.945517,70
22,4513,6.778606,9.374714e-56,0.0000,sat-debris,644675.759577,22
85,3653,3.206266,8.561457e-56,0.0000,sat-debris,776986.582956,85
69,3555,4.230809,8.432418e-56,0.0000,sat-debris,717650.790719,69
22,3860,4.004774,8.287713e-56,0.0000,sat-debris,572721.095269,22
46,4395,6.191276,7.663483e-56,0.0000,sat-debris,693521.290742,46
32,3570,3.784108,7.450952e-56,0.0000,sat-debris,447146.033988,32
99,5173,7.603153,7.405035e-56,0.0000,sat-debris,468559.877287,99
72,4163,3.250325,7.321663e-56,0.0000,sat-debris,792504.568937,72
74,13123,3.656551,7.205417e-56,0.0000,sat-debris,656779.957518,74
18,4987,3.604604,7.164074e-56,0.0000,sat-debris,769852.054946,18
83,4861,3.177970,6.536886e-56,0.0000,sat-debris,755350.487643,83
26,5128,5.360269,5.819068e-56,0.0000,sat-debris,619145.505260,26
25,4302,3.256724,5.738745e-56,0.0000,sat-debris,439427.879148,25
32,4379,6.740740,5.513528e-56,0.0000,sat-debris,564436.291443,32
83,3733,3.296474,5.442350e-56,0.0000,sat-debris,583621.182567,83
71,4864,6.780778,5.388668e-56,0.0000,sat-debris,676569.958325,71
5,5009,5.491333,5.100050e-56,0.0000,sat-debris,837672.691610,5
17,4795,7.365778,4.775649e-56,0.0000,sat-debris,855930.529905,17
62,4211,7.361630,4.736694e-56,0.0000,sat-debris,542600.422975,62
33,4376,3.662398,4.660627e-56,0.0000,sat-debris,601171.143110,33
94,5005,5.077759,4.438240e-56,0.0000,sat-debris,777540.005342,94
96,4774,3.498217,4.030315e-56,0.0000,sat-debris,761800.843285,96
8,4789,8.433068,3.943185e-56,0.0000,sat-debris,757989.931347,8
82,4113,3.253818,3.887637e-56,0.0000,sat-debris,858807.784267,82
64,3491,5.864592,3.828384e-56,0.0000,sat-debris,763020.289507,64
94,4098,8.740426,3.643401e-56,0.0000,sat-debris,651244.618611,94
65,4656,4.919336,3.486159e-56,0.0000,sat-debris,562425.578339,65
69,3971,8.262469,3.436503e-56,0.0000,sat-debris,511254.814642,69
15,4972,3.395293,3.363705e-56,0.0000,sat-debris,522234.389559,15
36,4596,6.255206,3.306620e-56,0.0000,sat-debris,825175.104606,36
31,4510,5.096148,3.071688e-56,0.0000,sat-debris,768126.031775,31
96,4441,8.256790,2.969284e-56,0.0000,sat-debris,523620.195462,96
68,3892,7.745392,2.915173e-56,0.0000,sat-debris,648790.138776,68
31,4504,3.286243,2.617255e-56,0.0000,sat-debris,688007.850870,31
59,3552,4.377041,2.387123e-56,0.0000,sat-debris,471645.379680,59
63,4890,6.502350,2.344337e-56,0.0000,sat-debris,469021.209801,63
9,3840,9.606444,2.184377e-56,0.0000,sat-debris,847240.078064,9
30,4058,3.193361,2.132064e-56,0.0000,sat-debris,579740.316918,30
62,3900,3.755642,2.099642e-56,0.0000,sat-debris,735264.881765,62
41,4279,7.189736,2.051084e-56,0.0000,sat-debris,793530.893266,41
96,4084,6.224561,2.047147e-56,0.0000,sat-debris,859185.032746,96
