obj_i,obj_j,miss_km,Pc,dv_ms,type,tca,cam_sat_idx
70,562,2.736732,4.117186e-14,0.0000,sat-debris,238530.069521,70
12,1917,3.492819,4.109300e-14,0.0000,sat-debris,369034.658645,12
73,3237,6.657802,4.002974e-14,0.0000,sat-debris,388510.812839,73
55,6718,1.875190,1.739914e-14,0.0000,sat-debris,238199.891541,55
96,843,5.886799,1.725879e-14,0.0000,sat-debris,404685.620205,96
0,13953,2.255806,1.448667e-14,0.0000,sat-debris,11575.711447,0
82,10149,5.197786,8.878401e-15,0.0000,sat-debris,88885.006450,82
34,581,1.539753,3.536545e-15,0.0000,sat-debris,232284.894125,34
80,15345,2.127378,3.031873e-15,0.0000,sat-debris,248961.458195,80
55,3921,1.476399,1.975400e-15,0.0000,sat-debris,255590.901741,55
42,4633,2.851216,1.260026e-15,0.0000,sat-debris,420139.841081,42
48,4788,4.027186,6.850081e-16,0.0000,sat-debris,166204.851661,48
1,741,2.231198,4.020251e-16,0.0000,sat-debris,10744.647799,1
21,4098,2.685382,3.397247e-16,0.0000,sat-debris,62585.337256,21
72,7743,6.075814,3.290254e-16,0.0000,sat-debris,85099.669605,72
26,4389,4.824392,2.128521e-16,0.0000,sat-debris,267415.706387,26
86,9528,3.569655,2.020544e-16,0.0000,sat-debris,298723.976776,86
31,5167,4.640855,1.287350e-16,0.0000,sat-debris,37519.597384,31
16,4517,2.602203,6.336617e-17,0.0000,sat-debris,72825.404354,16
13,1158,1.678565,5.588780e-17,0.0000,sat-debris,60234.578614,13
8,7108,6.258645,5.039839e-17,0.0000,sat-debris,418609.963623,8
68,8870,3.089618,4.532180e-17,0.0000,sat-debris,413925.960023,68
57,4515,2.129651,4.187458e-17,0.0000,sat-debris,223039.066238,57
15,3449,1.602428,3.646490e-17,0.0000,sat-debris,240569.624397,15
68,4790,3.740785,3.626855e-17,0.0000,sat-debris,288759.421846,68
23,13749,2.822381,2.629868e-17,0.0000,sat-debris,201014.694513,23
14,4257,1.653889,2.619257e-17,0.0000,sat-debris,397480.540318,14
57,10728,3.297255,2.097309e-17,0.0000,sat-debris,345937.801987,57
43,4166,1.645198,1.987919e-17,0.0000,sat-debris,386055.632315,43
27,7332,2.515242,1.597733e-17,0.0000,sat-debris,323244.993072,27
63,4389,6.059991,1.256823e-17,0.0000,sat-debris,313974.421225,63
75,3567,3.635862,1.166183e-17,0.0000,sat-debris,269715.444875,75
50,2324,3.446826,9.559258e-18,0.0000,sat-debris,429991.284132,50
47,2620,2.643702,9.094395e-18,0.0000,sat-debris,382264.867981,47
4,3772,5.626488,8.779402e-18,0.0000,sat-debris,279613.491014,4
78,2302,3.668705,8.492552e-18,0.0000,sat-debris,325965.531332,78
16,8869,1.656910,8.112856e-18,0.0000,sat-debris,226334.802699,16
69,7199,6.344629,5.513210e-18,0.0000,sat-debris,88080.963897,69
69,2769,2.264102,3.479299e-18,0.0000,sat-debris,417384.778690,69
61,15376,3.919386,1.507492e-18,0.0000,sat-debris,266805.517063,61
45,2302,2.715637,6.590891e-19,0.0000,sat-debris,258544.485164,45
95,9139,4.555784,3.934276e-19,0.0000,sat-debris,276115.542056,95
49,2321,2.926879,3.759226e-19,0.0000,sat-debris,72885.951123,49
14,5028,2.807806,2.511780e-19,0.0000,sat-debris,363154.833033,14
79,1941,2.206213,2.146112e-19,0.0000,sat-debris,95755.669738,79
99,4389,5.098486,1.666873e-19,0.0000,sat-debris,309305.473588,99
71,9128,1.932963,1.347400e-19,0.0000,sat-debris,375179.794259,71
60,491,1.970549,1.237969e-19,0.0000,sat-debris,86638.690899,60
69,4020,1.932637,5.088844e-20,0.0000,sat-debris,138025.460568,69
43,2418,7.424309,3.653640e-20,0.0000,sat-debris,347243.504455,43
65,9244,5.050682,2.978802e-20,0.0000,sat-debris,86794.363768,65
9,4667,2.264975,1.791709e-20,0.0000,sat-debris,115789.388743,9
21,2321,1.841420,1.336197e-20,0.0000,sat-debris,330534.773221,21
69,15281,5.899190,9.193687e-21,0.0000,sat-debris,381715.247332,69
27,4394,2.631516,8.165928e-21,0.0000,sat-debris,338369.715881,27
6,3575,1.821115,5.033169e-21,0.0000,sat-debris,305729.555037,6
9,3478,4.647569,4.570985e-21,0.0000,sat-debris,392650.146868,9
8,4888,2.794566,3.068854e-21,0.0000,sat-debris,116269.522755,8
50,7199,2.704692,2.309998e-21,0.0000,sat-debris,119220.799724,50
99,4387,1.970651,2.158108e-21,0.0000,sat-debris,17670.573615,99
36,15973,4.768147,1.248678e-21,0.0000,sat-debris,235750.070491,36
40,3585,5.374392,9.196500e-22,0.0000,sat-debris,393684.467756,40
59,14835,2.054760,7.593245e-22,0.0000,sat-debris,193115.725627,59
95,521,1.868861,4.010377e-22,0.0000,sat-debris,235430.143598,95
96,12043,1.886502,2.094966e-22,0.0000,sat-debris,51384.734246,96
75,4781,6.031669,1.778477e-22,0.0000,sat-debris,367674.634225,75
62,3904,1.915194,1.494064e-22,0.0000,sat-debris,205525.851619,62
30,1735,5.829158,1.356874e-22,0.0000,sat-debris,325785.324500,30
60,13952,8.756880,1.205525e-22,0.0000,sat-debris,118011.222496,60
24,4284,3.313016,1.014856e-22,0.0000,sat-debris,82136.369604,24
87,4049,4.053088,9.262125e-23,0.0000,sat-debris,133309.788863,87
59,4277,2.483254,8.236614e-23,0.0000,sat-debris,121479.405442,59
37,808,2.222895,3.910552e-23,0.0000,sat-debris,398024.382005,37
6,8868,4.693151,3.730393e-23,0.0000,sat-debris,40650.642699,6
17,4664,2.679446,3.239824e-23,0.0000,sat-debris,196659.632635,17
46,6718,6.261666,2.160964e-23,0.0000,sat-debris,140440.864502,46
54,4204,3.373200,1.794210e-23,0.0000,sat-debris,146800.432176,54
70,3900,1.951620,1.758908e-23,0.0000,sat-debris,17290.828907,70
72,2345,3.970049,1.377406e-23,0.0000,sat-debris,321160.140282,72
12,4670,2.140974,1.090698e-23,0.0000,sat-debris,256669.726482,12
24,4882,2.664457,1.024859e-23,0.0000,sat-debris,21164.353728,24
8,3425,2.234096,9.777799e-24,0.0000,sat-debris,207949.676522,8
16,1499,2.164231,8.403543e-24,0.0000,sat-debris,124619.910816,16
85,4510,2.424755,6.298129e-24,0.0000,sat-debris,13994.210298,85
31,1916,5.339694,5.297870e-24,0.0000,sat-debris,53440.596943,31
33,4827,1.984468,2.964901e-24,0.0000,sat-debris,141290.177337,33
58,16092,3.738028,2.230829e-24,0.0000,sat-debris,60274.801528,58
83,3982,2.069510,1.957746e-24,0.0000,sat-debris,55998.973576,83
4,4136,2.005207,1.747640e-24,0.0000,sat-debris,255139.206328,4
13,4374,2.151605,1.512478e-24,0.0000,sat-debris,289719.134700,13
75,4280,2.381827,1.501724e-24,0.0000,sat-debris,14254.323912,75
69,3566,6.774531,1.263638e-24,0.0000,sat-debris,201844.695970,69
18,4650,3.283771,1.104441e-24,0.0000,sat-debris,121645.136724,18
23,1491,6.626986,1.021904e-24,0.0000,sat-debris,283070.902285,23
64,5133,2.009003,9.302090e-25,0.0000,sat-debris,318235.273486,64
0,4645,2.422022,8.395216e-25,0.0000,sat-debris,178264.460333,0
52,3440,3.190905,5.371325e-25,0.0000,sat-debris,272185.495655,52
19,3443,2.620515,4.486816e-25,0.0000,sat-debris,258190.639757,19
27,4654,4.305465,3.806221e-25,0.0000,sat-debris,133144.847574,27
76,4198,2.056638,3.070217e-25,0.0000,sat-debris,35825.085616,76
7,4856,2.517530,1.740251e-25,0.0000,sat-debris,417914.075494,7
24,3915,2.169046,1.682784e-25,0.0000,sat-debris,33535.101866,24
42,3620,2.625829,1.626998e-25,0.0000,sat-debris,341850.590039,42
38,9532,4.718876,1.207142e-25,0.0000,sat-debris,415164.585718,38
35,4650,3.125297,1.189811e-25,0.0000,sat-debris,402979.664134,35
98,15344,7.548418,1.138889e-25,0.0000,sat-debris,283680.856862,98
17,4892,2.055149,1.058760e-25,0.0000,sat-debris,230834.804286,17
47,4847,2.265849,1.005795e-25,0.0000,sat-debris,184809.271214,47
12,4644,2.635561,9.309697e-26,0.0000,sat-debris,245404.590955,12
33,4848,2.905140,9.216832e-26,0.0000,sat-debris,95534.602624,33
78,3914,2.762278,6.228916e-26,0.0000,sat-debris,276035.157498,78
45,4802,2.205082,5.896625e-26,0.0000,sat-debris,391860.135988,45
