sat_i,sat_j,min_dist_km
408,517,0.796112
1263,1372,0.796122
1181,1290,0.796125
404,513,0.796128
489,598,0.796130
606,715,0.796141
1018,1127,0.796145
202,311,0.796159
59,1533,0.796160
528,659,0.796162
808,917,0.796175
732,841,0.796187
890,999,0.796189
110,241,0.796194
1046,1155,0.796198
1293,1402,0.796199
852,961,0.796200
56,1530,0.796204
1010,1119,0.796210
1436,1545,0.796212
683,792,0.796213
287,396,0.796215
338,447,0.796225
1190,1299,0.796235
11,120,0.796245
415,524,0.796253
244,353,0.796256
1184,1293,0.796261
886,995,0.796261
0,131,0.796266
983,1092,0.796274
79,1553,0.796277
164,273,0.796295
43,1517,0.796299
595,704,0.796299
1131,1240,0.796307
296,405,0.796309
1349,1458,0.796336
1380,1489,0.796338
1087,1196,0.796342
939,1048,0.796342
1002,1111,0.796348
784,893,0.796350
650,759,0.796352
99,208,0.796358
888,997,0.796363
132,263,0.796366
491,600,0.796375
55,164,0.796382
835,944,0.796396
1322,1431,0.796396
1377,1486,0.796398
1088,1197,0.796405
1359,1468,0.796406
1410,1519,0.796416
1142,1251,0.796421
87,1561,0.796421
1157,1266,0.796424
712,821,0.796433
1450,1559,0.796439
635,744,0.796439
787,896,0.796439
885,994,0.796443
645,754,0.796444
1289,1398,0.796448
799,908,0.796449
1238,1347,0.796451
1159,1268,0.796452
412,521,0.796452
523,632,0.796453
7,116,0.796453
179,288,0.796468
577,686,0.796473
25,134,0.796475
955,1064,0.796482
403,512,0.796484
767,876,0.796488
1403,1512,0.796489
669,778,0.796492
1350,1459,0.796494
1361,1470,0.796502
1439,1548,0.796508
1166,1297,0.796509
1398,1507,0.796513
1325,1434,0.796524
907,1016,0.796531
1175,1284,0.796533
134,243,0.796560
432,541,0.796560
507,616,0.796566
1351,1460,0.796567
1063,1172,0.796567
257,366,0.796569
1395,1504,0.796569
1119,1228,0.796582
753,862,0.796594
836,967,0.796599
987,1096,0.796606
24,133,0.796610
994,1103,0.796614
1292,1401,0.796614
