time_s,cam_sat,cam_tca,neighbor_sat,perturbed_dist_km,baseline_dist_km,degradation_km
845910,1606,848490.16,2596,0.059926,1.051063,0.991137
1666920,392,1672445.84,1342,0.112153,1.176351,1.064198
244410,2247,251520.30,238,0.234866,0.949969,0.715103
794490,2045,801259.54,36,0.247058,1.147901,0.900843
1368360,1357,1370250.56,2307,0.247989,0.966103,0.718114
1447080,1847,1450901.01,2837,0.261945,0.922375,0.660430
2412000,108,2415930.16,1058,0.312217,1.022075,0.709858
2327040,1341,2331800.29,2291,0.396152,0.975338,0.579186
1354980,2690,1357366.49,641,0.540338,0.986156,0.445818
2549460,2787,2553445.11,738,0.550716,1.082142,0.531426
2188320,1070,2195840.12,2020,0.583125,0.923691,0.340566
338910,2147,343438.63,98,0.590173,0.952355,0.362182
782580,2608,784884.20,599,0.600991,0.915127,0.314136
2117910,402,2124670.79,1392,0.609434,0.923578,0.314144
66480,1530,74413.14,2480,0.610021,1.044266,0.434245
965610,1450,973400.65,2400,0.621058,0.922130,0.301072
1422420,2579,1427186.10,530,0.647905,0.969481,0.321576
1455930,2425,1460590.08,376,0.657570,0.921326,0.263756
2213730,2612,2221149.14,563,0.670715,0.928500,0.257785
743070,2484,748354.51,475,0.698358,0.923404,0.225046
1423260,2973,1429085.70,924,0.698823,0.923526,0.224703
554790,2679,558501.26,630,0.726824,0.923045,0.196221
1439490,1900,1444340.86,2850,0.754264,0.921311,0.167047
17700,671,24380.54,1621,0.789604,0.951501,0.161897
1459200,2882,1469585.32,873,0.801941,0.913340,0.111399
2132250,2941,2142575.02,892,0.813010,0.983068,0.170058
2442570,1534,2445535.09,2484,0.823735,0.921407,0.097672
8430,2895,18844.73,846,0.845527,0.919791,0.074264
1947480,1592,1956899.96,2542,0.855686,0.921743,0.066057
1286790,527,1296999.20,1517,0.905309,0.925398,0.020089
105240,2379,116644.47,330,0.908929,0.913381,0.004452
598560,2429,599295.09,2548,0.960439,5.458353,4.497914
1359540,2074,1359550.44,2193,0.982859,5.459093,4.476234
1397760,312,1400249.50,1262,0.990871,1.016563,0.025692
2309760,422,2311939.72,1372,1.020686,1.057266,0.036580
1505070,658,1505122.82,777,1.064202,5.458374,4.394172
1666080,2997,1666300.46,948,1.089150,1.093849,0.004699
1279050,2636,1279780.30,2755,1.206998,5.458619,4.251621
602760,1400,603220.56,1559,1.430048,5.459782,4.029734
2182890,2723,2185784.16,2842,1.525465,5.460892,3.935427
1959120,2566,1959639.47,2685,1.590773,5.459472,3.868699
1112520,40,1112919.77,199,1.602775,5.458288,3.855513
1394100,913,1397066.82,1032,1.603453,5.458072,3.854619
16500,735,17655.07,854,1.639141,5.458715,3.819574
269880,1485,271598.99,1604,1.662456,5.458173,3.795717
432150,352,435319.72,471,1.814957,5.459870,3.644913
652350,334,654740.50,453,1.821144,5.458688,3.637544
125610,453,127516.91,572,1.854002,5.459655,3.605653
2096700,2765,2098778.91,2884,1.900369,5.458750,3.558381
953730,309,956190.28,428,1.931201,5.460460,3.529259
1769310,1852,1771946.87,1971,2.176068,5.458152,3.282084
1478490,2603,1482120.02,2722,2.182353,5.459160,3.276807
340110,2914,344454.90,34,2.242801,5.458736,3.215935
909090,2700,912004.87,2819,2.244122,5.458267,3.214145
1355670,2141,1357923.87,2260,2.324528,5.458296,3.133768
1167810,2493,1169769.18,2612,2.369204,5.458557,3.089353
1822650,160,1825303.56,319,2.381388,5.458834,3.077446
1932570,952,1934088.49,1071,2.385466,5.458884,3.073418
2214480,823,2216661.04,942,2.495199,5.458134,2.962935
1040010,1426,1043491.83,1545,2.541695,5.458330,2.916635
522990,1917,527859.37,2036,2.545810,5.458267,2.912457
1527840,539,1527968.27,658,2.557819,5.458452,2.900633
2255490,2496,2256026.16,2615,2.560896,5.459547,2.898651
2523180,347,2526503.86,466,2.563922,5.458414,2.894492
1569390,2928,1573889.53,48,2.576269,5.459469,2.883200
717180,921,717326.43,1040,2.594025,5.459143,2.865118
1092240,1981,1094360.07,2100,2.615729,5.458505,2.842776
442080,2242,444049.93,2361,2.629578,5.459451,2.829873
1762830,2617,1767461.11,2736,2.631451,5.460129,2.828678
556770,2081,561219.33,2200,2.640333,5.458681,2.818348
1345800,1930,1347395.68,2049,2.640927,5.458331,2.817404
943710,259,947376.05,378,2.641256,5.459529,2.818273
1489230,2528,1489955.72,2647,2.664333,5.458045,2.793712
1227270,1638,1230040.13,1757,2.690533,5.459333,2.768800
1990500,2067,1993374.53,2186,2.700695,5.458965,2.758270
2224350,994,2226075.87,1113,2.734709,5.458792,2.724083
1252050,1385,1255194.55,1504,2.776073,5.460148,2.684075
1492050,509,1492935.14,628,2.784121,5.459791,2.675670
871890,2160,872857.64,2319,2.795568,5.461049,2.665481
2059830,1303,2061288.81,1422,2.829879,5.458434,2.628555
1590840,459,1592750.37,578,2.840105,5.458349,2.618244
402030,1442,404119.69,1561,2.856624,5.458568,2.601944
359580,2938,360598.42,58,2.883748,5.459283,2.575535
2530050,419,2532685.53,538,2.896312,5.459409,2.563097
840120,1862,841360.51,1981,2.908900,5.458145,2.549245
458880,1245,461479.49,1364,2.924814,5.458992,2.534178
1314990,2545,1317598.55,2664,2.928548,5.458223,2.529675
1429800,2863,1436194.11,2982,2.963483,5.459102,2.495619
546030,2116,547025.08,2235,3.060824,5.458657,2.397833
789390,2856,792735.07,2975,3.066070,5.458624,2.392554
2269830,2076,2272530.66,2195,3.069101,5.458711,2.389610
2389260,1482,2392589.77,1601,3.079674,5.459828,2.380154
155580,2443,157010.55,2562,3.086705,5.459228,2.372523
743460,2217,745694.63,2336,3.089679,5.458831,2.369152
2387460,215,2392660.05,334,3.092849,5.458166,2.365317
1552620,326,1559669.60,445,3.093110,5.458100,2.364990
1552620,326,1557465.66,445,3.093110,5.458100,2.364990
147720,2218,147809.82,2337,3.102522,5.458774,2.356252
1935300,693,1939975.19,812,3.131802,5.460404,2.328602
1099380,2371,1099479.39,2490,3.135783,5.458488,2.322705
674280,2780,675721.73,2899,3.137707,5.458705,2.320998
1562670,2735,1564359.64,2854,3.152322,5.459786,2.307464
1442670,174,1445645.47,293,3.166498,5.458134,2.291636
238320,2785,238344.76,2904,3.212215,5.458555,2.246340
651150,1502,652029.62,1621,3.225756,5.458375,2.232619
1785630,1898,1787105.36,2017,3.230127,5.458337,2.228210
2197980,1538,2198859.31,1657,3.247477,5.458249,2.210772
1163340,165,1165829.76,284,3.249559,5.459021,2.209462
2063160,560,2064418.71,719,3.258120,5.459415,2.201295
320520,2411,323455.35,2530,3.265312,5.460081,2.194769
1957110,2700,1959425.12,2819,3.269416,5.458267,2.188851
1630920,659,1633627.52,778,3.273983,5.458065,2.184082
861150,2195,862930.98,2314,3.283289,5.458035,2.174746
736230,748,739609.93,867,3.297959,5.459141,2.161182
1523610,2208,1525905.24,2327,3.309366,5.458033,2.148667
1476180,20,1482424.79,139,3.324532,5.458479,2.133947
92970,361,98518.90,480,3.379620,5.459477,2.079857
2335380,2538,2340535.06,2657,3.383591,5.459406,2.075815
2479410,2532,2484138.88,2651,3.396173,5.458431,2.062258
1524630,1801,1525287.07,1920,3.413832,5.460024,2.046192
276420,2479,277024.08,2598,3.429691,5.458626,2.028935
413490,1282,416315.58,1401,3.433101,5.458899,2.025798
1845270,162,1846411.80,281,3.453080,5.458298,2.005218
2395470,359,2398024.73,478,3.485604,5.458079,1.972475
2274000,1647,2282415.91,1766,3.492351,5.459594,1.967243
2274000,1647,2281804.36,1766,3.492351,5.459594,1.967243
462390,2660,465515.28,2779,3.506747,5.458277,1.951530
1435440,1704,1438774.48,1823,3.507651,5.460851,1.953200
2103450,2358,2109119.92,2477,3.510027,5.458824,1.948797
387360,2864,390914.97,2983,3.520332,5.461021,1.940689
288750,2073,293075.46,2192,3.530121,5.458766,1.928645
226590,2547,229804.75,2666,3.536991,5.458165,1.921174
1847760,2024,1848700.20,2143,3.547768,5.458694,1.910926
499080,1924,500065.78,2043,3.553131,5.458259,1.905128
1724220,1647,1729771.99,1766,3.571416,5.459594,1.888178
436080,2004,438774.74,2123,3.580514,5.458291,1.877777
86610,1645,87044.52,1764,3.584096,5.458243,1.874147
1018620,2615,1024225.31,2734,3.585101,5.459518,1.874417
294420,274,294750.50,393,3.585643,5.460922,1.875279
865710,2603,868679.59,2722,3.587839,5.459160,1.871321
1631610,1174,1633965.71,1293,3.617121,5.458391,1.841270
969270,1640,974328.71,1799,3.620772,5.458245,1.837473
969270,1640,973189.97,1799,3.620772,5.458245,1.837473
1490610,639,1493417.86,758,3.628748,5.458746,1.829998
584580,1327,586244.23,1446,3.634367,5.458930,1.824563
2406210,284,2408615.48,403,3.637120,5.459778,1.822658
2070300,990,2072930.90,1109,3.637453,5.458933,1.821480
1699590,1739,1701071.16,1858,3.646000,5.458078,1.812078
352650,1147,357954.67,1266,3.654387,5.459921,1.805534
525390,2580,528850.10,2699,3.664045,5.460189,1.796144
854310,1483,854694.35,1602,3.670984,5.458565,1.787581
2418660,477,2420190.77,596,3.671963,5.458346,1.786383
1550580,1020,1553228.88,1139,3.673904,5.458047,1.784143
1356060,2978,1358855.98,98,3.707357,5.458418,1.751061
2427480,1655,2432394.55,1774,3.719247,5.458519,1.739272
2395710,1357,2398495.27,1476,3.720486,5.458173,1.737687
1493280,1700,1498665.07,1819,3.721556,5.461710,1.740154
370080,1905,373633.90,2024,3.736032,5.458107,1.722075
2042970,661,2043661.30,780,3.737145,5.458131,1.720986
510780,2682,510835.43,2801,3.741425,5.459408,1.717983
343650,690,345893.56,809,3.747698,5.458906,1.711208
1415940,2280,1418485.77,2439,3.751477,5.458947,1.707470
1843320,2055,1846049.55,2174,3.766110,5.458666,1.692556
797850,2557,799580.22,2676,3.777988,5.458744,1.680756
224310,2283,226680.56,2402,3.793752,5.458264,1.664512
2112810,1173,2113483.69,1292,3.798651,5.458658,1.660007
103920,1924,106650.65,2043,3.807378,5.458259,1.650881
214560,2671,220848.59,2790,3.812060,5.458192,1.646132
2027520,329,2030900.43,448,3.812376,5.458665,1.646289
796140,2409,796454.90,2528,3.840595,5.458071,1.617476
255630,105,258594.19,224,3.842658,5.459771,1.617113
2139930,2943,2140350.15,63,3.850851,5.458223,1.607372
425880,2715,428355.02,2834,3.851209,5.458287,1.607078
22170,1895,30245.47,2014,3.855192,5.458868,1.603676
1261350,1500,1261706.24,1619,3.867849,5.459052,1.591203
1730430,524,1737645.10,643,3.870528,5.458915,1.588387
2171160,2525,2175140.35,2644,3.872691,5.458903,1.586212
81900,1398,86976.71,1517,3.874743,5.458407,1.583664
310950,1958,314165.67,2077,3.878982,5.458179,1.579197
1677210,2655,1682790.31,2774,3.884647,5.458729,1.574082
405480,1138,410915.33,1257,3.886907,5.458847,1.571940
1027500,2553,1033479.96,2672,3.890080,5.459633,1.569553
27900,1895,30245.47,2014,3.898725,5.458868,1.560143
2093130,2550,2095739.37,2669,3.900999,5.458840,1.557841
2414490,866,2420348.98,985,3.904277,5.459121,1.554844
131070,95,131278.36,214,3.907717,5.458318,1.550601
107670,1338,113270.08,1457,3.913219,5.460580,1.547361
923250,2961,925814.32,81,3.915385,5.459242,1.543857
2341080,99,2343585.42,218,3.916951,5.458921,1.541970
2416980,2688,2423466.33,2807,3.925528,5.458448,1.532920
347490,1303,354094.84,1422,3.928876,5.458434,1.529558
711450,921,717326.43,1040,3.933751,5.459143,1.525392
2177580,1,2179233.71,120,3.946784,5.459182,1.512398
985770,965,987904.55,1084,3.949270,5.458745,1.509475
1981500,1650,1985090.33,1769,3.951762,5.460321,1.508559
2370030,2456,2378414.50,2575,3.952144,5.458637,1.506493
1499370,98,1506151.25,217,3.952550,5.458166,1.505616
1354890,507,1360770.10,626,3.955292,5.458871,1.503579
472710,2468,475805.78,2587,3.956288,5.458132,1.501844
11280,2091,17300.64,2210,3.958039,5.458726,1.500687
549540,532,552503.65,651,3.958572,5.458440,1.499868
2500140,128,2500153.43,247,3.966988,5.460137,1.493149
1596030,2662,1596379.25,2781,3.976665,5.458248,1.481583
496800,1700,504694.64,1819,3.983972,5.461710,1.477738
1704360,746,1704364.08,865,3.991349,5.459666,1.468317
2015190,695,2018089.45,814,4.002612,5.458730,1.456118
360540,812,361134.46,931,4.009326,5.459525,1.450199
1854270,619,1858130.27,738,4.020860,5.458753,1.437893
1299660,2772,1304755.07,2891,4.020957,5.458478,1.437521
457800,2892,458103.97,12,4.023887,5.460491,1.436604
820170,2841,821860.06,2960,4.031434,5.458775,1.427341
1981920,1847,1985299.84,1966,4.032133,5.459299,1.427166
2416260,2733,2422471.51,2852,4.034400,5.459248,1.424848
458700,1966,461760.10,2085,4.035746,5.458332,1.422586
1252020,2025,1257320.45,2144,4.046648,5.459007,1.412359
36660,1314,42175.74,1433,4.046844,5.458429,1.411585
1971300,2401,1974260.21,2520,4.049162,5.458306,1.409144
1963740,1774,1968715.07,1893,4.053034,5.458119,1.405085
920010,1864,924654.54,1983,4.056401,5.458220,1.401819
2525670,2169,2531699.84,2288,4.057059,5.458848,1.401789
375450,428,379060.88,547,4.059366,5.459258,1.399892
949590,58,952319.04,177,4.075452,5.458192,1.382740
32250,705,32279.89,824,4.076032,5.458819,1.382787
685050,2145,687444.82,2264,4.077042,5.459914,1.382872
582090,2524,582749.97,2643,4.088765,5.458236,1.369471
2197080,2384,2200209.70,2503,4.098531,5.458112,1.359581
2441250,1159,2444299.70,1278,4.099272,5.458337,1.359065
1352760,122,1360455.14,241,4.101043,5.458281,1.357238
170100,1262,173335.74,1381,4.105464,5.458882,1.353418
1396890,2413,1396944.57,2532,4.105492,5.458084,1.352592
1596810,1337,1599245.17,1456,4.118837,5.458606,1.339769
611610,1978,613954.58,2097,4.121970,5.459116,1.337146
1442970,2891,1444464.67,11,4.123407,5.458831,1.335424
1024920,2611,1028779.37,2730,4.125189,5.458078,1.332889
1795230,1751,1800654.98,1870,4.126834,5.458276,1.331442
757920,2276,764416.14,2395,4.140139,5.460556,1.320417
2068860,1120,2070313.71,1279,4.142099,5.458697,1.316598
2197770,2939,2200681.36,59,4.149172,5.458178,1.309006
2037240,661,2043661.30,780,4.153114,5.458131,1.305017
2520360,2486,2526280.86,2605,4.164333,5.460246,1.295913
107970,1056,111756.22,1175,4.164772,5.458996,1.294224
2578140,723,2582521.59,842,4.168668,5.459276,1.290608
875130,258,882491.37,377,4.181488,5.458924,1.277436
1492470,706,1498920.65,825,4.188039,5.460157,1.272118
934740,2161,940184.18,2280,4.200357,5.459737,1.259380
1319820,352,1326614.50,471,4.203303,5.459870,1.256567
1647120,226,1651733.50,345,4.205530,5.458241,1.252711
141990,2218,147809.82,2337,4.214186,5.458774,1.244588
2043810,975,2046565.29,1094,4.214683,5.458266,1.243583
995700,2895,999049.31,15,4.215084,5.458296,1.243212
2245110,1009,2245500.77,1128,4.217528,5.458765,1.241237
85350,1094,91329.27,1213,4.218564,5.459857,1.241293
837240,2202,841524.74,2321,4.219957,5.458677,1.238720
1479060,2679,1486181.36,2798,4.224764,5.459146,1.234382
595980,2487,603730.81,2606,4.224795,5.458035,1.233240
1346250,1487,1346405.22,1606,4.225959,5.458697,1.232738
1464150,104,1472605.14,223,4.234391,5.458148,1.223757
1484790,2679,1486181.36,2798,4.243506,5.459146,1.215640
2439720,210,2440690.86,329,4.246909,5.458804,1.211895
76170,1438,80399.60,1557,4.263323,5.460197,1.196874
2024640,749,2027615.15,868,4.276014,5.458153,1.182139
1221690,1557,1223940.29,1676,4.280417,5.458587,1.178170
1108800,26,1109060.14,145,4.281843,5.458305,1.176462
1904640,1187,1912538.61,1306,4.285109,5.458599,1.173490
898110,1797,898340.43,1916,4.285866,5.458979,1.173113
714360,2980,720149.62,100,4.286923,5.459563,1.172640
2387610,94,2390510.06,213,4.287952,5.458689,1.170737
940260,483,943280.25,602,4.290150,5.458678,1.168528
2565630,1890,2567520.14,2009,4.301531,5.459055,1.157524
100650,1507,105820.65,1626,4.302931,5.460657,1.157726
1638690,2804,1641835.64,2923,4.304720,5.458273,1.153553
720090,2980,720149.62,100,4.304885,5.459563,1.154678
1894800,336,1902564.95,455,4.305500,5.458715,1.153215
28050,1694,30804.95,1813,4.305720,5.458333,1.152613
1922550,822,1925335.97,941,4.310165,5.459353,1.149188
1274280,590,1276990.38,709,4.311376,5.458343,1.146967
1109700,2179,1117659.89,2298,4.311965,5.458166,1.146201
1148970,1345,1156458.14,1464,4.316427,5.458462,1.142035
2411100,2849,2412723.43,2968,4.318055,5.458067,1.140012
332760,886,336584.72,1005,4.319626,5.459015,1.139389
2049030,2658,2051825.06,2777,4.323522,5.458514,1.134992
1381680,120,1384359.99,279,4.331970,5.458964,1.126994
1790040,2467,1790999.11,2586,4.331971,5.458140,1.126169
